"TÍTULO DEL PROYECTO",INSTITUCIÓN,"NOMBRE COLABORADOR","NIVEL S.N.I. COLABORADOR","INSTITUCIÓN COLABORADOR",ESPECIALIDAD
"Marcadores biomoleculares aplicables al diagnóstico citológico del cáncer cervicouterino.","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","María Del Carmen Martínez",Candidato,"Instituto Mexicano del Seguro Social","Epidemiología y estadística"
"Implantación y evaluación de una intervención contra el tabaquismo en secundarias de 10 estados de México","Instituto Nacional De Salud Publica","Raydel  Valdés Salgado",,"Instituto Nacional De Salud Pública",Mortalidad
"ANÁLISIS COSTO-EFECTIVIDAD DE LA VACUNA CONTRA EL VIRUS DEL PAPILOMA HUMANO Y SU IMPACTO ECONÓMICO EN LA PREVENCIÓN Y TRATAMIENTO DEL CÁNCER CERVICO-UTERINO EN MÉXICO","Instituto Nacional De Salud Publica","Raydel Valdés Salgado",,"Instituto Nacional De Salud Publica",Tabaco
"Lanceta láser","Instituto Politecnico Nacional","Julio Laria Menchaca",,"Instituto Politecnico Nacional",Instrumentación
"Preparación por extrusión y caracterización de películas poliméricas electroconductoras con uso potencial en biosensores para ácido úrico y urea","Universidad De Sonora","Roberto olayo gonzález","Nivel 2","Universidad Autónoma Metropolitana",Polímeros
"Analisis del comportamiento espectral del epitelio escamoso normal del cervix y el epitelio acetoblanco por infeccion de virus del papiloma mediante el procesamiento digital de imagenes colposcopicas usando un modelo dinamico lineal.","Universidad Veracruzana","Héctor Hugo Cerecedo Nuñez","Nivel 1","Universidad Veracruzana","Fibras ópticas"
"DESARROLLO DE UN SISTEMA INTELIGENTE DE INFORMACION ESTRATEGICA SOBRE TECNOLOGIA PARA LA SALUD(TPS)","Fundacion Mexicana Para La Salud, A.C.","Cuauhtémoc Valdés Olmedo",,"Fundacion Mexicana Para La Salud, A.C.","Investigación de operaciones"
"Evaluación de impacto de Oportunidades en la mortalidad y morbilidad materna","Instituto Nacional De Salud Publica","Hortencia Moreno Macías",,"Instituto Nacional De Salud Pública",Bioestadística
"Uso de Colágena-PVP para el tratamiento de la Osteoartrosis","Aspid, S.A De C.V.","Marina  Rull Gabayet",,"Instituto Nacional De Ciencias Medicas Y La Nutricion ""Salvador Zubiran""",REUMATOLOGIA
"Uso de Colágena-PVP para el tratamiento de la Osteoartrosis","Aspid, S.A De C.V.","Efraín Díaz Borjón",,"Instituto Nacional De Ciencias Medicas Y La Nutricion ""Salvador Zubiran""",Ortopedia
"Tamaño y Composición Corporal en Niños y Adolescente Mexicanos: desarrollo de ecuaciones para estudios epidemiológicos.","Centro De Investigacion En Alimentacion Y Desarrollo, A.C. (Ciad)","Héctor Bourges Rodriguez","Nivel 2","Instituto Nacional De La Nutrición ""Salvador Zubirán""",Nutricion
"Tamaño y Composición Corporal en Niños y Adolescente Mexicanos: desarrollo de ecuaciones para estudios epidemiológicos.","Centro De Investigacion En Alimentacion Y Desarrollo, A.C. (Ciad)","Elaine Rush",,"Universidad Tecnológica De Auckland, Nueva Zelandia",Nutricion
"Mortalidad materna (MM) en regiones indígenas: Una propuesta metodológica para identificar a municipios de alto riesgo en salud materna","Centro De Investigaciones Y Estudios Superiores En Antropologia Social (Ciesas)","Mtra. Rosalba Rojas Martínez",,"Instituto Nacional De Salud Publica","Analisis de encuestas"
"Neuronavegador económico de uso múltiple","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Juan  Bernal  Martinez","Nivel 1","Universidad Tecnologica de Aguascalientes",FISIOLOGIA
"Neuronavegador económico de uso múltiple","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Antonio  Torres  Ruiz",,"Instituto Nacional de Neurología y Neurocirugía",NEUROCIRUGIA
"Neuronavegador económico de uso múltiple","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Rodrigo  Ramos Zúñiga",,"Universidad Autonoma De Guadalajara",NEUROCIRUGIA
"Neuronavegador económico de uso múltiple","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Hector  Velázquez  Santana",,"Universidad De Guadalajara",NEUROCIRUGIA
"Neuronavegador económico de uso múltiple","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Marco Antonio Barajas  Romero",,"Universidad De Guadalajara - Centro Universitario De Ciencias De La Salud",NEUROCIRUGIA
"Evaluación de la presencia de linfocitos NKT que expresan la molécula CRTAM en pacientes con diabetes tipo 1 y en sus familiares de primer grado","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Consuelo Barrón  Uribe",,"Instituto Mexicano Del Seguro Social",Endocrinología
"Evaluación de la presencia de linfocitos NKT que expresan la molécula CRTAM en pacientes con diabetes tipo 1 y en sus familiares de primer grado","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Rita Angelica Gómez Díaz",,"Instituto Mexicano Del Seguro Social",Endocrinología
"Evaluación de la presencia de linfocitos NKT que expresan la molécula CRTAM en pacientes con diabetes tipo 1 y en sus familiares de primer grado","Centro De Investigacion Y De Estudios Avanzados Del I.P.N.","Rocio Herrera Marquez",,"Instituto Mexicano Del Seguro Social",Endocrinología
"Calidad de vida (CV) en hombres con osteoporosis (OP)","Centro Nacional De Rehabilitacion","Jorge Salmerón Castro","Nivel 1","Instituto Mexicano Del Seguro Social, Cuernavaca, Morelos",EPIDEMIOLOGIA
"Análisis de la marcha y balance para prevenir factores de riesgo en el paciente con Osteoporosis.","Centro Nacional De Rehabilitacion","Esperanza  Ramírez Pérez",,"Centro Nacional De Rehabilitacion","epidemiologia clínica"
"Calidad de vida (CV) en hombres con osteoporosis (OP)","Centro Nacional De Rehabilitacion","Patricia  Clark Peralta",,"Instituto Mexicano Del Seguro Social. Centro Médico Siglo XXI Unidad de Epidemiología",Reumatología
"Polimorfismos génicos asociados a la pérdida de la densidad mineral ósea de columna vertebral en mujeres mexicanas","Centro Nacional De Rehabilitacion","Pilar diez García",,"Centro Nacional De Rehabilitación","Med. física y Rehabilitación"
"Polimorfismos génicos asociados a la pérdida de la densidad mineral ósea de columna vertebral en mujeres mexicanas","Centro Nacional De Rehabilitacion","Alejandro Antonio Reyes Sánchez",,"Centro Nacional De Rehabilitación","Traumatología y Ortopedia"
"Polimorfismos génicos asociados a la pérdida de la densidad mineral ósea de columna vertebral en mujeres mexicanas","Centro Nacional De Rehabilitacion","Druso López Estrada",,"Centro Nacional de Rehabilitación","Traumatol. y Ortopedia"
"Calidad de vida (CV) en hombres con osteoporosis (OP)","Centro Nacional De Rehabilitacion","Neils Wacher Rodarte",,"Instituto Mexicano del Seguro Social","MEDICINA INTERNA"
"Percutor implantable para aceleración de la consolidación de no-unionesóseas","Centro Nacional De Rehabilitacion","Judith Melendez Viana",,"Centro Nacional De Rehabilitacion","Ortopedia y Traumatología"
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Enrique Villalobos Córdoba",,"Centro Nacional De Rehabilitacion","Residente Ortopedia"
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Hilda Villegas Castrejón",,"secretaría de Salud . Centro Nacional de Rehabilitación","Microscopía Electrónica"
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Peter Torzilli N/a",,"Laboratory For Soft Tissue Research,baltimore Md, Usa","MEDICINA Y PATOLOGIA HUMANAS"
"Análisis de la marcha y balance para prevenir factores de riesgo en el paciente con Osteoporosis.","Centro Nacional De Rehabilitacion","Aldo  alessi montero",,"Centro Nacional De Rehabilitacion",biomédica
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Clemente Ibarra  Ponce De León","Nivel 1","Centro Nacional De Rehabilitación",Ortopedia
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Francisco Pérez Jiménez",,"Secretaría de Salud . Centro Nacional de Rehabilitación","Ortopedia y artroscopia"
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Marco Antonio Teliz Meneses",,"Centro Nacional De Rehabilitacion",Radiología
"Trasplante de células autólogas para la regeneración de cartílago articular como alternativa para reducir el costo de la atención de la osteoartriris.","Centro Nacional De Rehabilitacion","Elisa  Martínez Coria",,"Centro Nacional De Rehabilitación","Radiología e Imagen"
"Prevención de ulceras por presión en lesionados medulares usuarios de sillas de ruedas,a través de sistemas de liberación de presión","Centro Nacional De Rehabilitacion","Ramiro Pérez Zavala",,"Centro Nacional De Rehabilitacion","Reahbilitación Neurológica"
"Prevención de ulceras por presión en lesionados medulares usuarios de sillas de ruedas,a través de sistemas de liberación de presión","Centro Nacional De Rehabilitacion","Raúl Peralta Hernández",,"Centro Nacional De Rehabilitacion","Técnico Protesista Ortesista"
"Percutor implantable para aceleración de la consolidación de no-unionesóseas","Centro Nacional De Rehabilitacion","Hilda Villegas Castrejón",,"Centro Nacional De Rehabilitacion","Microscopia electrónica"
"DESARROLLO DE UN SISTEMA INTELIGENTE DE INFORMACION ESTRATEGICA SOBRE TECNOLOGIA PARA LA SALUD(TPS)","Fundacion Mexicana Para La Salud, A.C.","Manuel H Ruiz De Chávez Guerrero",,"Fundacion Mexicana Para La Salud, A.C.","Salud Pública Medicina Familia"
"Eficacia de una solución de citrato de potasio y dieta baja en sodio para la prevención de litiasis urinaria.","Fundacion Mexicana Para La Salud, Capitulo Peninsular, A.C.","Carolina Medina Escobedo",,"Instituto Mexicano Del Segurpo Social",Anestesiología
"Eficacia de una solución de citrato de potasio y dieta baja en sodio para la prevención de litiasis urinaria.","Fundacion Mexicana Para La Salud, Capitulo Peninsular, A.C.","Marco Cetina Cámara",,"Servicios De Salud De Yucatán","Medicina Interna"
"Factores de riesgo para el desarrollo de espondilitis anquilosante en familiares con el gen de susceptibilidad HLA-B27 de pacientes con la enfermedad en familias de casos múlitples: seguimiento de casos y controles por cinco años","Hospital General De Mexico","Ingris Pelaez Ballestas",,"Hospital General De Mexico","MEDICINA Y PATOLOGIA HUMANAS"
"Factores de riesgo para el desarrollo de espondilitis anquilosante en familiares con el gen de susceptibilidad HLA-B27 de pacientes con la enfermedad en familias de casos múlitples: seguimiento de casos y controles por cinco años","Hospital General De Mexico","Raul  Gutiérrez Suárez",,"Hospital General De Mexico","MEDICINA Y PATOLOGIA HUMANAS"
"Factores de riesgo para el desarrollo de espondilitis anquilosante en familiares con el gen de susceptibilidad HLA-B27 de pacientes con la enfermedad en familias de casos múlitples: seguimiento de casos y controles por cinco años","Hospital General De Mexico","Gilberto Vargas Alarcón","Nivel 3","Instituto Nacional De Cardiología Ignacio Chavez","MEDICINA Y PATOLOGIA HUMANAS"
"Factores de riesgo para el desarrollo de espondilitis anquilosante en familiares con el gen de susceptibilidad HLA-B27 de pacientes con la enfermedad en familias de casos múlitples: seguimiento de casos y controles por cinco años","Hospital General De Mexico","Julio Granados Arriola","Nivel 3","Instituto Nacional De Ciencias Medicas Y La Nutricion Salvador Zubiran","MEDICINA Y PATOLOGIA HUMANAS"
"Factores de riesgo para el desarrollo de espondilitis anquilosante en familiares con el gen de susceptibilidad HLA-B27 de pacientes con la enfermedad en familias de casos múlitples: seguimiento de casos y controles por cinco años","Hospital General De Mexico","Celia Alpuche Arana","Nivel 1","Universidad Nacional Autonoma De Mexico",Microbiología
"Factores de riesgo para el desarrollo de espondilitis anquilosante en familiares con el gen de susceptibilidad HLA-B27 de pacientes con la enfermedad en familias de casos múlitples: seguimiento de casos y controles por cinco años","Hospital General De Mexico","Janitzia Vázquez-Mellado Cervantes","Nivel 1","Hospital General De Mexico",Reumatologia
"Costo efectividad del tratamiento y prevención de Osteoporosis en pacientes con fractura de cadera.",IMSS,"Esperanza Ramirez",,"SECRETARIA DE SALUD","EPIDEMIOLOGIA CLINICA"
"Costo efectividad del tratamiento y prevención de Osteoporosis en pacientes con fractura de cadera.",IMSS,"Claudia Verónica  Barrera Cárdenas",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL","Medicina Interna"
"Costo efectividad del tratamiento y prevención de Osteoporosis en pacientes con fractura de cadera.",IMSS,"Peter Tugwell",,"INSTITUTE OF POPULATION HEALTH UNIVERSITY OTAWA",REUMATOLOGIA
"Costo efectividad del tratamiento y prevención de Osteoporosis en pacientes con fractura de cadera.",IMSS,"Juan Garduño Espinoza",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL","MEDICINA INTERNA"
"Costo efectividad del tratamiento y prevención de Osteoporosis en pacientes con fractura de cadera.",IMSS,"Miriam America Ruiz Esparza",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL","MEDICINA INTERNA"
"Costo efectividad del tratamiento y prevención de Osteoporosis en pacientes con fractura de cadera.",IMSS,"Rafael  Rodriguez Cabrera",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL","ORTOPEDIA Y TRAUMATOLOGIA"
"Validación de una guía basada en signos y síntomas para la identificación y manejo de pacientes con faringoamigdalitis aguda por Streptococcus pyogenes","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Jesús Flores Sánchez",,"Universidad Autónoma De Guadalajara","Administración en Serv de Salu"
"MOTIVOS Y FRECUENCIA DE INCAPACIDAD E INVALIDEZ PARA EL TRABAJO EN ARTRITIS REUMATOIDE Y ESPONDILITIS ANQUILOSANTE","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Carlos Cabrera Pivaral","Nivel 1","Instituto Mexicano Del Seguro Social","CIENCIAS SOCIALES EN MEDICINA"
"IMPLANTACIÓN DE UN SISTEMA DE VIGILANCIA ALIMENTARIA Y NUTRICIONAL(SISVAN) EN LAS GUARDERÍAS DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","María Eugenia  Garza Elizondo",,"Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","sistemas de salud"
"Consolidación de una red de investigación y diagnóstico de enfermedades virales","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Francisca Sosa Jurado",,"Instituto Mexicano Del Seguro Social",EPIDEMIOLOGIA
"MOTIVOS Y FRECUENCIA DE INCAPACIDAD E INVALIDEZ PARA EL TRABAJO EN ARTRITIS REUMATOIDE Y ESPONDILITIS ANQUILOSANTE","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Alfredo Celis De La Rosa","Nivel 1","Universidad de Guadalajara",EPIDEMIOLOGIA
"MODELO DE INTERVENCIÓN MULTIDISCIPLINAR PARA DETENER EL AVANCE Y REVERTIR EL PROCESO DE INTOLERANCIA A LA GLUCOSA EN PERSONAS DE ALTO RIESGO","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Dr. Javier  Eduardo  García De Alba  García","Nivel 1","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Antropología Médica"
"MOTIVOS Y FRECUENCIA DE INCAPACIDAD E INVALIDEZ PARA EL TRABAJO EN ARTRITIS REUMATOIDE Y ESPONDILITIS ANQUILOSANTE","Instituto Mexicano Del Seguro Social - Fondo Para El Fomento A La Investigacion Medica","Jaime Morales Romero",,"Instituto Mexicano Del Seguro Social-Unidad de Investigación en Epidemiología Clínica. Hospital de Especialidades CMNO",Epidemiología
