"TITULO DEL PROYECTO",INSTITUCIÓN,"RESPONSABLE TÉCNICO","NIVEL S.N.I.",DEMANDA
"ANALISIS COSTO-EFECTIVIDAD DE LA VACUNA CONTRA EL VIRUS DEL PAPILOMA HUMANO Y SU IMPACTO ECONOMICO EN LA PREVENCION Y TRATAMIENTO DEL CANCER CERVICO-UTERINO EN MEXICO","Instituto Nacional de Salud Pública","Luz Myriam Reynales Shigematsu",1,"Neoplasias malignas"
"SINDROME DEL NIÑO SACUDIDO. PREVALENCIA EN UN HOSPITAL PEDIATRICO DE TERCER NIVEL.","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","Claudia Amelia Díaz Olavarrieta",2,"Accidentes y Violencia"
"UTILIZACION Y CALIDAD TECNICA DEL ULTRASONIDO Y LA MAMOGRAFIA EN LA PREVENCION DEL CANCER MAMARIO EN SERVICIOS DE SALUD DE LA SECRETARIA DE SALUD EN LA CIUDAD DE MEXICO","Instituto Nacional de Salud Pública","Doris Verónica Ortega Altamirano",,"Evaluación del Desempeño e Impacto de los Servicios de Salud"
"ANALISIS DE LA MARCHA Y BALANCE PARA PREVENIR FACTORES DE RIESGO EN EL PACIENTE CON OSTEOPOROSIS.","Instituto Nacional de Rehabilitación","Lidia Núñez Carrera",,"Enfermedades crónicas o degenerativas"
"EVALUACION DE IMPACTO DE OPORTUNIDADES EN LA MORTALIDAD Y MORBILIDAD MATERNA","Instituto Nacional de Salud Pública","Bernardo Hernández Prado",1,"Salud Reproductiva y Perinatal"
"LA PARTICIPACION DE LOS JOVENES EN LA PREVENCION DE LOS ACCIDENTES DE TRAFICO EN LA CIUDAD DE CUERNAVACA: DISEÑO Y EVALUACION DE UNA CAMPAÑA INFORMATIVA A PARTIR DE LA INVESTIGACION.","Instituto Nacional de Salud Pública","Sandra Guadalupe Treviño Siller",1,"Accidentes y Violencia"
"DESARROLLO Y EVALUACION COMPARATIVA DE TRES INSTRUMENTOS PARA LA ADMINISTRACION DE VACUNAS ANTISARAMPIONOSAS POR VIA AEROSOL","Instituto Nacional de Salud Pública","Jose Luis Valdespino Gómez",2,"Enfermedades del rezago y emergentes"
"RESPUESTA INMUNE A LA VACUNA COMBINADA CONTRA SARAMPION, RUBEOLA Y PAROTIDITIS (SRP) APLICADA POR AEROSOL O POR VIA SUBCUTANEA EN ADULTOS JOVENES","Instituto Nacional de Salud Pública","José Luis Díaz Ortega",,"Enfermedades del rezago y emergentes"
"CONTRIBUCION DEL LOS PATRONES DE ALIMENTACION, DE ACTIVIDAD FISICA Y EL GASTO TOTAL DE ENERGIA A LA GENESIS DE LA OBESIDAD DURANTE LA EDAD ESCOLAR.","Instituto Nacional de Salud Pública","Salvador Francisco Villalpando Hernández",3,"Trastornos de la Nutrición"
"NEURONAVEGADOR ECONOMICO DE USO MULTIPLE","Centro de Investigación y de Estudios Avanzados del IPN","Eduardo Jose Bayro Corrochano",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EVALUACION DE LA REDUCCION DE FUENTES AEREAS DE PLOMO EN UNA MUESTRA DE MENORES DE 15 AÑOS DEL DISTRITO FEDERAL, 1998 Y 2003 - 2004.","Instituto Nacional de Salud Pública","Mary Carmen Baltazar Reyes",,"Salud Ocupacional"
"FABRICACION DE PROTOTIPOS DE VASTAGO FEMORAL PARA PROTESIS TOTAL DE CADERA.","Centro de Ingeniería y Desarrollo Industrial","Carlos Rubio González",2,"Grupos Vulnerables"
"BIBLIOTECA DE MEDIOS AUDIOVISUALES DE EDUCACION PARA LA SALUD EN DISCAPACIDAD Y REHABILITACION.","Instituto Nacional de Rehabilitación","Alberto Odor Morales",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"INICIO OPORTUNO DEL TRATAMIENTO CON DIALISIS PERITONEAL CONTINUA AMBULATORIA. ESTUDIO CONTROLADO ALEATORIZADO MULTICENTRICO.","Instituto Mexicano del Seguro Social","Jose Dante Amato Martínez",2,"Enfermedades crónicas o degenerativas"
"TAMAÑO Y COMPOSICION CORPORAL EN NIÑOS Y ADOLESCENTE MEXICANOS: DESARROLLO DE ECUACIONES PARA ESTUDIOS EPIDEMIOLOGICOS.","Centro de Investigación en Alimentación y Desarrollo AC","Mauro Eduardo Fernando Valencia Juillerat",3,"Trastornos de la Nutrición"
"MUJERES COMPAÑERAS DE MIGRANTES Y VULNERABILIDAD A ITS/VIH/SIDA","Instituto Nacional de Salud Pública","Rene Leyva Flores",2,"Enfermedades Infecciosas y Parasitarias"
"INFLUENCIA DE LOS PARES Y CONSUMO DE TABACO EN EL AMBITO ESCOLAR: ANALISIS MULTINIVEL EN UN ESTUDIO DE COHORTE","Instituto Nacional de Salud Pública","Luisa Maria Sánchez Zamorano",1,"Salud Mental y Adicciones"
"VIGILANCIA DE LA SALUD MENTAL EN NIÑOS Y ADOLESCENTES: UN PROGRAMA PILOTO","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""","Jorge Javier Caraveo Anduaga",1,"Trastornos Psiquiátricos o Neurológicos"
"FRECUENCIA, FACTORES DE RIESGO Y DISEMINACION DE RESISTENCIA A FLUOROQUINOLONAS EN BACTERIAS CAUSANTES DE INFECCIONES NOSOCOMIALES Y COMUNITARIAS EN MEXICO: CARACTERIZACION MOLECULAR","Universidad Nacional Autónoma de México","Celia Mercedes Alpuche Aranda",2,"Enfermedades del rezago y emergentes"
"DESARROLLO E IMPLEMENTACIÓN DE HERRAMIENTAS COMPUTACIONALES (TÉCNICAS DE INTELIGENCIA ARTIFICIAL) PARA APOYO EN EL DIAGNÓSTICO TEMPRANO DE CÁNCER DE MAMA","Instituto Tecnológico de Toluca","Ricardo Barandela Alonso",,"Neoplasias malignas"
"CARACTERIZACION DE GENES MODIFICADORES RELACIONADOS CON LA EXPRESIVIDAD VARIABLE DE LA FIBROSIS QUISTICA","Instituto Nacional de Pediatria","Alessandra Carnevale Cantoni",3,"Padecimientos Congénitos o de origen genético"
"EXPRESION DIFERENCIAL DE SIALILTRANSFERASAS Y ACIDO SIALICO EN BIOPSIAS DE CERVIX CON DIFERENTE GRADO DE NEOPLASIA Y SU USO POTENCIAL EN UN METODO DIAGNOSTICO PRONOSTICO.","Instituto Mexicano del Seguro Social","Veronica Vallejo Ruíz",2,"Neoplasias malignas"
"EFECTO ANTIMICROBIANO DEL BARNIZ DE CLORHEXIDINA AL 1% EN EL CONTROL DE LA CARIES DE BIBERON","Universidad Autónoma de Baja California","Ricardo Manuel Sánchez Rubio Carrillo",,"Padecimientos Estomatológicos"
"TIEMPOS DE DURACION DE LAS INCAPACIDADES TEMPORALES PARA EL TRABAJO EN EL IMSS","Instituto Mexicano del Seguro Social","Ramón Alberto Rascón Pacheco",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"VALIDACION DE UNA GUIA BASADA EN SIGNOS Y SINTOMAS PARA LA IDENTIFICACION Y MANEJO DE PACIENTES CON FARINGOAMIGDALITIS AGUDA POR STREPTOCOCCUS PYOGENES","Instituto Mexicano del Seguro Social","Alberto Villaseñor Sierra",1,"Enfermedades Infecciosas y Parasitarias"
"ESTUDIO DE GENES, REGIONES CROMOSOMICAS Y ANALISIS DE VARIACIONES DE PROTEINAS EN CANCER DE MAMA DE MUJERES MEXICANAS.","Instituto Mexicano del Seguro Social","Diego Julio Arenas Aranda",1,"Neoplasias malignas"
"HOSPITALIZACIONES EVITABLES POR CONDICIONES SENSIBLES A CUIDADO AMBULATORIO EN HOSPITALES GENERALES DE MEXICO, 2004","Instituto Nacional de Salud Pública","Juan Francisco Molina Rodríguez",,"Evaluación del Desempeño e Impacto de los Servicios de Salud"
"COSTO EFECTIVIDAD DEL TRATAMIENTO Y PREVENCION DE OSTEOPOROSIS EN PACIENTES CON FRACTURA DE CADERA.","Instituto Mexicano del Seguro Social","Patricia Elena Clark Peralta",2,"Enfermedades crónicas o degenerativas"
"IMPLANTACION Y EVALUACION DE UNA INTERVENCION CONTRA EL TABAQUISMO EN SECUNDARIAS DE 10 ESTADOS DE MEXICO","Instituto Nacional de Salud Pública","Edna Judith Arillo Santillán",1,"Salud Mental y Adicciones"
"UTILIDAD DEL SUBSISTEMA AUTOMATIZADO DE EGRESOS HOSPITALARIOS (SAEH) COMO INSUMO PARA LA IMPLANTACION DE GRUPOS RELACIONADOS POR EL DIAGNOSTICO (GRD´S)","Instituto Nacional de Salud Pública","José de Jesús Vértiz Ramírez",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"EFECTIVIDAD DEL MÈTODO PRDA-PASS EN NIÑOS CON DISCAPACIDAD PARA LA LECTURA DE LA CIUDAD DE LA PAZ, BAJA CALIFORNIA SUR","Instituto Mexicano del Seguro Social","Cristóbal Medardo Valdéz Geraldo",,"Educación para la Salud"
"MOTIVOS Y FRECUENCIA DE INCAPACIDAD E INVALIDEZ PARA EL TRABAJO EN ARTRITIS REUMATOIDE Y ESPONDILITIS ANQUILOSANTE","Instituto Mexicano del Seguro Social","Laura del Carmen González López",2,"Grupos Vulnerables"
"EL TRANSCRIPTOMA DE RETINOBLASTOMAS PRIMARIOS.","Instituto Mexicano del Seguro Social","Martha Verónica Ponce Castañeda",1,"Neoplasias malignas"
"CONSOLIDACION DE UNA RED DE INVESTIGACION Y DIAGNOSTICO DE ENFERMEDADES VIRALES","Instituto Mexicano del Seguro Social","Julio Roberto Reyes Leyva",2,"Enfermedades Infecciosas y Parasitarias"
"IMPLANTACION DE UN SISTEMA DE VIGILANCIA ALIMENTARIA Y NUTRICIONAL(SISVAN) EN LAS GUARDERIAS DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL","Instituto Mexicano del Seguro Social","Georgina Mayela Núñez Rocha",1,"Trastornos de la Nutrición"
"PERCUTOR IMPLANTABLE PARA ACELERACION DE LA CONSOLIDACION DE NO-UNIONES OSEAS","Instituto Nacional de Rehabilitación","Jorge Ernesto Letechipia Moreno",,"Grupos Vulnerables"
"EPIDEMIOLOGIA MOLECULAR DE S. AUREUS RESISTENTE A METICILINA ADQUIRIDO EN HOSPITALES Y EN LA COMUNIDAD.","Instituto Mexicano del Seguro Social","Gerardo Martínez Aguilar",1,"Enfermedades del rezago y emergentes"
"ASOCIACION ENTRE LA CAPACIDAD MASTICATORIA Y EL ESTADO FUNCIONAL DEL ANCIANO","Universidad Nacional Autónoma de México","Gloria Alejandra Moreno Altamirano",,"Grupos Vulnerables"
"LANCETA LASER","Instituto Politécnico Nacional","Luis Vidal Ponce Cabrera",1,"Enfermedades Infecciosas y Parasitarias"
"PREVENCION DE ULCERAS POR PRESION EN LESIONADOS MEDULARES USUARIOS DE SILLAS DE RUEDAS, A TRAVES DE SISTEMAS DE LIBERACION DE PRESION","Instituto Nacional de Rehabilitación","Diana Alicia Gayol Mérida",,"Grupos Vulnerables"
"TRASPLANTE DE CELULAS AUTOLOGAS PARA LA REGENERACION DE CARTILAGO ARTICULAR, COMO ALTERNATIVA PARA REDUCIR EL COSTO DE LA ATENCION DE LA OSTEOARTRIRIS.","Instituto Nacional de Rehabilitación","María Cristina Velasquillo Martínez",1,"Grupos Vulnerables"
"CONSECUENCIAS GENOTOXICAS DE LA QUIMIOTERAPIA ABVD EN GAMETOS Y CELULAS SOMATICAS DE PACIENTES CON ENFERMEDAD DE HODGKIN","Instituto Nacional de Pediatria","Sara Frías Vázquez",2,"Padecimientos Congénitos o de origen genético"
"ACTIVIDAD OCUPACIONAL DEL PADRE Y RIESGO DE LEUCEMIA EN NIÑOS","Instituto Mexicano del Seguro Social","Juan Manuel Mejía Aranguré",2,"Neoplasias malignas"
"OPTIMIZACION DE LA TERAPIA ANTIPSICOTICA CON BASE EN UN ENFOQUE CRONOFARMACOLOGICO.","Universidad Nacional Autónoma de México","Raul Antonio Aguilar Roblero",3,"Trastornos Psiquiátricos o Neurológicos"
"ANALISIS DE POLIMORFISMOS EN EL GEN RECEPTOR DE VITAMINA D EN PACIENTES CON OSTEOPOROSIS","Instituto Mexicano del Seguro Social","Bertha Ibarra Cortés",3,"Enfermedades crónicas o degenerativas"
"CALIDAD DE VIDA (CV) EN HOMBRES CON OSTEOPOROSIS (OP)","Instituto Nacional de Rehabilitación","Esperanza Ramírez Pérez",,"Enfermedades crónicas o degenerativas"
"MORTALIDAD MATERNA (MM) EN REGIONES INDIGENAS: UNA PROPUESTA METODOLOGICA PARA IDENTIFICAR A MUNICIPIOS DE ALTO RIESGO EN SALUD MATERNA","Centro de Investigaciones y Estudios Superiores en Antropología Social","María Graciela Freyermuth Enciso",2,"Entorno Social y Transición Demográfica"
"EFICACIA DE UNA SOLUCION DE CITRATO DE POTASIO Y DIETA BAJA EN SODIO PARA LA PREVENCION DE LITIASIS URINARIA.","Fundación Mexicana para la Salud","Martha María de los Ángeles Medina Escobedo",,"Enfermedades crónicas o degenerativas"
"E-SALUD: APLICACION DE LAS NUEVAS TECNOLOGIAS DEL INTERNET Y LA INFORMATICA A UNA JURISDICCION SANITARIA TIPO EN SAN LUIS POTOSI.","Servicios de Salud de San Luis Potosí","Rodrigo Ramos Zúñiga",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"DESARROLLO Y VALIDACION DE UN PROGRAMA DE EDUCACION PARA EL DIAGNOSTICO Y PREVENCION DE LA NEFROPATIA DIABETICA, APLICADO A MEDICOS GENERALES Y MEDICOS FAMILIARES DEL SECTOR SALUD.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Jose Ricardo Correa Rotter",3,"Educación para la Salud"
"DESARROLLO Y EVALUACION DE INDICADORES DE CALIDAD DE LA ATENCION MEDICA EN LA UNIDAD DE TERAPIA INTENSIVA. ESTUDIO MULTICENTRICO.","Instituto Mexicano del Seguro Social","Luis David Sánchez Velázquez",,"Enfermedades Infecciosas y Parasitarias"
"Colagena-PVP para el tratamiento de artritis reumatoide","Grupo Aspid","Guadalupe Janette Furuzawa Carballeda",2,"Enfermedades crónicas o degenerativas"
"HEMOCULTIVOS A TRAVES DEL CATETER , ¿ES INFECCION O COLONIZACION?","Instituto Nacional de Cancerología","Patricia Amalia Volkow Fernández",2,"Enfermedades Infecciosas y Parasitarias"
"ESTUDIO COMPARATIVO PARA EVALUAR LA EFICACIA DE DOS ESTRATEGIAS DE TRATAMIENTO ANTIRRETROVIRAL EN PACIENTES CON ENFERMEDAD AVANZADA POR VIH.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Juan Gerardo Sierra Madero",2,"Enfermedades Infecciosas y Parasitarias"
"FACTORES DE RIESGO PARA EL DESARROLLO DE ESPONDILITIS ANQUILOSANTE EN FAMILIARES CON EL GEN DE SUSCEPTIBILIDAD HLA-B27 DE PACIENTES CON LA ENFERMEDAD EN FAMILIAS DE CASOS MULITPLES: SEGUIMIENTO DE CASOS Y CONTROLES POR CINCO AÑOS","Hospital General de México","Ruben Burgos Vargas",3,"Enfermedades crónicas o degenerativas"
"INTERACCION GENOTIPO-FENOTIPO EN LAS HEMOFILIAS A Y B ""CENTRO PARA EL DIAGNOSTICO Y TRATAMIENTO DE LA HEMOFILIA EN POBLACION MEXICANA""","Instituto Mexicano del Seguro Social","Ana Rebeca Jaloma Cruz",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"USO DE COLAGENA-PVP PARA EL TRATAMIENTO DE LA OSTEOARTROSIS","Grupo Aspid","Guadalupe Janette Furuzawa Carballeda",2,"Grupos Vulnerables"
"SINDROME DE DESGASTE PROFESIONAL EN TRABAJADORES DEL PRIMER NIVEL DE ATENCION A LA SALUD, FACTORES DE RIESGO Y SU INFLUENCIA EN EL DESEMPEÑO INSTITUCIONAL.","Servicios de Salud de San Luis Potosí","Rodrigo Ramos Zúñiga",1,"Salud Ocupacional"
"FACTORES DE RIESGO PARA LA DEPRESION EN UNA MUESTRA DE PACIENTES DEL HOSPITAL PSIQUIATRICO ""YUCATAN""","Universidad Autónoma de Yucatán","Gloria Margarita Arankowsky Sandoval",1,"Trastornos Psiquiátricos o Neurológicos"
"IDENTIFICACION DE LA RESPUESTA INMUNE DE TIPO HUMORAL Y DE TIPO CELULAR A LA PRIMOINFECCION POR MYCOBACTERIUM TUBERCULOSIS CON FINES DIAGNOSTICOS EN CONTACTOS DE PACIENTES CON TUBERCULOSIS PULMONAR.","Instituto Nacional de Salud Pública","María de Lourdes García García",3,"Enfermedades Infecciosas y Parasitarias"
"SUPLEMENTACION DE HIERRO MAS ANTIOXIDANTES PARA ELIMINAR LA MUY ALTA PREVALENCIA DE ANEMIA EN MEXICO Y SUS CONSECUENCIAS EN LA SALUD. COMPARACION CON LOS METODOS ACTUALMENTE UTILIZADOS POR LA SECRETARIA DE SALUD","Universidad Autónoma de Querétaro","Jorge Luis Rosado Loria",3,"Trastornos de la Nutrición"
"DESARROLLO DE UN SISTEMA INTELIGENTE DE INFORMACION ESTRATEGICA SOBRE TECNOLOGIA PARA LA SALUD (TPS)","Fundación Mexicana para la Salud","Hugo Manuel Ruíz de Chávez Guerrero",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"PAPEL DE LA APOPTOSIS DE CELULAS ENDOTELIALES EN EL DAÑO TISULAR DEL PIE DIABETICO CON INFECCION.","Instituto Mexicano del Seguro Social","Vilma Carolina Bekker Méndez",1,"Enfermedades crónicas o degenerativas"
"EVALUACION DE LA PRESENCIA DE LINFOCITOS NKT QUE EXPRESAN LA MOLECULA CRTAM EN PACIENTES CON DIABETES TIPO 1 Y EN SUS FAMILIARES DE PRIMER GRADO","Centro de Investigación y de Estudios Avanzados del IPN","Vianney Francisco Ortíz Navarrete",2,"Enfermedades crónicas o degenerativas"
"LA PERCEPCION DEL RIESGO DE PADECER ALGUN TIPO DE COMPLICACION EN PACIENTES CON DIABETES MELLITUS TIPO 2","Instituto Mexicano del Seguro Social","María del Pilar Deyanira Lavielle Sotomayor",1,"Enfermedades crónicas o degenerativas"
"PRODUCCION DE LANTANIDOS RADIACTIVOS PARA RADIOTERAPIA","Instituto Nacional de Investigaciones Nucleares","Fabiola Monroy Guzmán",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"RELACION ENTRE FLORA BACTERIANA INTESTINAL, INFLAMACION Y SINDROME DE INTESTINO IRRITABLE: EFECTO DEL USO DE UNA BEBIDA LACTEA CON LACTOBACILLUS CASEI","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Florencia Vargas Vorackova",3,"Enfermedades Infecciosas y Parasitarias"
"DOSIMETRIA Y MICRODOSIMETRIA DE RADIOFARMACOS PARA EL DIAGNOSTICO, SEGUIMIENTO Y POSIBLE TRATAMIENTO DE TUMORES DE ORIGEN NEUROENDOCRINO Y LINFOMAS NO HODGKIN","Instituto Nacional de Investigaciones Nucleares","Guillermina Ferro Flores",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"FUNCION PULMONAR Y ACTIVIDAD SIMPATICA CARDIACA EN EMBARAZADAS CON OBESIDAD. UN ESTUDIO LONGITUDINAL.","Instituto Mexicano del Seguro Social","Norma Amador Licona",2,"Trastornos de la Nutrición"
"UTILIDAD DE MUESTRAS DE SANGRE SECA FIJADA EN PAPEL FILTRO (DBSS) DE PACIENTES CON VIH/SIDA, ENVIADAS DE DIFERENTES REGIONES DEL PAIS, BAJO CONDICIONES VARIABLES DE TEMPERATURA Y TIEMPO, PARA DETERMINAR CARGA, RESISTENCIA A ANTIRRETROVIRALES Y GENOTIPOS.","Instituto Mexicano del Seguro Social","María Teresa Álvarez Y Muñoz",1,"Enfermedades Infecciosas y Parasitarias"
"UTILIDAD DEL EMPLEO DE MUESTRAS DE SANGRE SECA FIJADA EN PAPEL FILTRO PARA DETERMINAR CARGA VIRAL, IDENTIFICAR GENOTIPOS Y MUTACIONES EN LA REGION CORE Y PRECORE DEL VIRUS DE LA HEPATITIS B.","Instituto Mexicano del Seguro Social","María Teresa Álvarez Y Muñoz",1,"Enfermedades Infecciosas y Parasitarias"
"Desarrollo e Investigacion de Paclitaxel Oral en Pacientes con Cancer","Ivax Pharmaceuticals Mexico","Adrián Hepner Steingart",,"Neoplasias malignas"
"NANOCIENCIA EN SALUD: PRODUCCION CONTROLADA DE NANOTUBOS DE CARBONO DOPADOS CON NITROGENO PARA LA FABRICACION SENSORES DE SOLVENTES CANCERIGENOS Y GASES TOXICOS","Instituto Potosino de Investigación Científica y Tecnológica","Mauricio Terrones Maldonado",3,"Salud Ocupacional"
"INFLUENCIA DE POLIMORFISMOS GENETICOS DE APOLIPOPROTEINAS Y ENZIMAS DEL METABOLISMO DE LIPOPROTEINAS SOBRE LA RESPUESTA A UN TRATAMIENTO DIETARIO EN SUJETOS CON HIPERCOLESTEROLEMIA MODERADA.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Armando Roberto Tovar Palacio",3,"Enfermedades crónicas o degenerativas"
"CRITERIOS PARA LA ASIGNACION DE POBLACION DERECHOHABIENTE A MEDICO FAMILIAR Y CAPACIDAD DE PRODUCCION DE SERVICIOS DE SALUD","Instituto Mexicano del Seguro Social","Enrique Villarreal Ríos",1,"Evaluación del Desempeño e Impacto de los Servicios de Salud"
"DISEÑO Y CONSTRUCCION DE UN MASTOGRAFO DIGITAL","Benemérita Universidad Autónoma de Puebla","Jose Guadalupe Vázquez Luna",1,"Neoplasias malignas"
"FACTORES ASOCIADOS A LOS COSTOS INNECESARIOS EN INGRESOS Y ESTANCIAS HOSPITALARIAS EN PERSONAS DE 60 AÑOS Y MAS.","Instituto Mexicano del Seguro Social","Sergio Sánchez García",1,"Evaluación del Desempeño e Impacto de los Servicios de Salud"
"CARACTERIZACION DE GENOTIPOS DE VHB EN POBLACION MEXICANA PARA ESTABLECER ESTRATEGIAS ESPECIFICAS DE PREVENCION Y TRATAMIENTO.","Universidad de Guadalajara","Arturo Panduro Cerda",3,"Enfermedades Infecciosas y Parasitarias"
"EL SEGURO POPULAR DE SALUD PARA FAMILAS CON MIGRANTES EN ESTADOS UNIDOS","Fundación Mexicana para la Salud","Gustavo Humberto Nigenda López",2,"Entorno Social y Transición Demográfica"
"DETERMINACION DE ENDOFENOTIPOS Y LATENCIA DE TRANSICION A PSICOSIS EN UN MODELO DE DETECCION TEMPRANA DE ESQUIZOFRENIA","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","Rogelio Apiquián Guitart",1,"Trastornos Psiquiátricos o Neurológicos"
"DIAGNOSTICO MOLECULAR PREVENTIVO EN CANCER BIEN DIFERENCIADO DE TIROIDES","Instituto Mexicano del Seguro Social","Moisés Mercado Atri",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"ANTICUERPOS ANTI-HLA Y ANTICUERPOS ANTI-MICA EN RECEPTORES DE TRASPLANTE RENAL. CUANTIFICACION DE POBLACION CELULAR T REGULADORA EN LA MISMA POBLACION DE PACIENTES.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Josefina Maria Alberu Gómez",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"DESARROLLO DE METODOS MOLECULARES PARA ESTUDIAR LA HISTORIA NATURAL DE LAS INFECCIONES POR EL VIRUS DEL HERPES SIMPLE Y EL VIRUS DE PAPILOMA HUMANO","Instituto Nacional de Salud Pública","Carlos Jesus Conde González",2,"Enfermedades Infecciosas y Parasitarias"
"LOS QUIROPTEROS: ¿ESTAN INVOLUCRADOS EN LA TRANSMISION DEL DENGUE Y DEL VIRUS DEL OESTE DEL NILO VON?","Instituto Mexicano del Seguro Social","José Álvaro Aguilar Setién",3,"Enfermedades Infecciosas y Parasitarias"
"DESARROLLO DE UN METODO GASTROINTESTINAL IN VITRO PARA EVALUAR LA BIODISPONIBILIDAD DE PB, ZN, CD, CR, CU Y MN EN POLVOS URBANOS","Universidad Autónoma de Yucatán","Manuel Hernán Barceló Quintal",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"VALIDACION EN CAMPO DE UNA NUEVA VERSION DE LA VACUNA CONTRA LA CISTICERCOSIS PORCINA: DETERMINACION DE LA RELEVANCIA DE LOS FACTORES DE EXPOSICION Y DEL HOSPEDERO EN LA EFICIENCIA DE VACUNACION","Universidad Nacional Autónoma de México","Edda Lydia Sciutto Conde",3,"Enfermedades del rezago y emergentes"
"DISEÑO Y EVALUACION DE UN MODELO DE ATENCION INTEGRAL CON ENFOQUE SOCIAL A LA SALUD PARA AFRONTAR EL PROBLEMA DE LA VIOLENCIA DE GENERO EN LA POBLACION DERECHOHABIENTE DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL","Instituto Mexicano del Seguro Social","Hortensia Reyes Morales",2,"Evaluación del Desempeño e Impacto de los Servicios de Salud"
"RELACION DEL CONSUMO DE REFRESCOS Y OSTEOPOROSIS EN MUJERES POSMENOPAUSICAS","Instituto Mexicano del Seguro Social","María de Jesús Araujo Arias",,"Enfermedades crónicas o degenerativas"
"LOS SISTEMAS DE SALUD FRENTE A LA VIOLENCIA HACIA LAS MUJERES INDIGENAS EN LAS PRINCIPALES ETNIAS DE MEXICO","Instituto Nacional de Salud Pública","María del Rosario Valdéz Santiago",1,"Accidentes y Violencia"
"TERAPIA DE ANGIOGENESIS EN PACIENTES CON ISQUEMIA CRITICA EN EXTREMIDADES INFERIORES CON AUTOTRANSPLANTE DE CELULAS MONONUCELARES DE SANGRE PERIFERICA.","Instituto Mexicano del Seguro Social","Alejandro González Ojeda",1,"Grupos Vulnerables"
"ESTUDIO QUIMICO-BIOLOGICO DE SPHAERALCEA ANGUSTIFOLIA, Y DESARROLLO DE PROCEDIMIENTOS BIOTECNOLOGICOS Y ANALISIS METROLOGICO PARA LA OBTENCION DE UN POTENCIAL FARMACO ANTIRREUMATICO DE APLICACION TOPICA.","Instituto Mexicano del Seguro Social","María Adelina Jiménez Arellánes",1,"Enfermedades crónicas o degenerativas"
