TITULO DEL PROYECTO,INSTITUCION,RESPONSABLE,NIVEL,DEMANDA
ELABORACIÓN DE UNA VACUNA PERTUSSIS ACÉLULAR DE DOS COMPONENTES,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",Antonio Sánchez Sánchez,,Desarrollo y Evaluación de Tecnologías para la Salud
ASOCIACIÓN DEL CÁNCER DE MAMA CON EL HAPLOTIPO T-66G/G-156GG DEL GEN SPP1 Y LOS NIVELES SÉRICOS DE OSTEOPONTINA EN MUJERES DEL NORTE DE MÉXICO,Servicios de Salud de Durango,Antonio Sifuentes Álvarez,1,Neoplasias Malignas
"EXPOSICIÓN A PLAGUICIDAS Y EFECTOS EN SALUD EN POBLACIONES INFANTILES DE LA ZONA PLATANERA DEL SOCONUSCO, CHIAPAS",Instituto Nacional de Salud Pública,Antonio Trejo Acevedo,1,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
NEUROESTIMULACIÓN CEREBRAL PROFUNDA DEL NÚCLEO ACCUMBENS EN EL TRATAMIENTO DE LA DEPRESIÓN REFRACTARIA,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Antonio Zárate Méndez,,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
Comparación de los niveles circulantes de Irisina y cambios en tejido adiposo subcutáneo antes y después del ejercicio en sujetos con diferentes IMC,Instituto Nacional de Medicina Genómica (INMEGEN),ANTUNA PUENTE BARBARA PATRICIA,1,Trastornos de la Nutrición
DISEÑO CONSTRUCCIÓN Y EVALUACIÓN CLÍNICA DE PRÓTESIS MIOELECTRICAS CON 3 GRADOS DE LIBERTAD ACTIVOS PARA AMPUTACIÓN POR ARRIBA DE CODO,"Instituto Nacional de Astrofísica, Óptica y Electrónica",Apolo Zeus Escudero Uribe,,Grupos Vulnerables
EFECTO DEL PLASMA DE MUJERES EMBARAZADAS CON PREECLAMPSIA SOBRE CULTIVOS DE CÉLULAS ENDOTELIALES. EN BUSQUEDA DE UN FACTOR SÉRICO INDUCTOR DE DAÑO ENDOTELIAL COMO MARCADOR TEMPRANO DE PREECLAMPSIA.,"Instituto Nacional de Cardiología ""Ignacio Chávez""",Araceli Páez Arenas,1,Salud Reproductiva y Perinatal
ANÁLISIS DE LA EXPRESIÓN DE LAS ENZIMAS DEL CITOCROMO P450 EN RABDOMIOSARCOMA INFANTIL,Instituto Nacional de Pediatría,Araceli Vences Mejía,Candidato,Neoplasias Malignas
DESARROLLO Y EVALUACIÓN DE UN NUEVO DISPOSITIVO DE AVANCE MANDIBULAR COMO TRATAMIENTO TERAPEÚTICO PARA PACIENTES CON SAOS Y RONQUIDO SECUNDARIO A OBSTRUCCIÓN EN BASE DE LENGUA.,Universidad Autónoma Metropolitana,ARANA LECHUGA DEBORA YOALY,1,Desarrollo y Evaluación de Tecnologías para la Salud
Estudio de asociación de polimorfismos en genes candidatos y labio paladar hendido en una muestra de pacientes de origen mexicano.,Instituto Nacional de Pediatría,ARIADNA ESTELA GONZÁLEZ DEL ANGEL,1,Salud Reproductiva y Perinatal
Desarrollo escalamiento semi-industrial y evaluación clínica de un nuevo fitomedicamento ansiolítico elaborado a partir del extracto estandarizado de la especie vegetal mexicana Galphimia glauca,Instituto Mexicano del Seguro Social,Armando H. Herrera Arellano,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
EVALUACIÓN CLÍNICA DEL EFECTO CICATRIZANTE EN ÚLCERAS VENOSAS DE MIEMBROS INFERIORES DEL FITOFÁRMACO MT-1 (MIMOSA TENUIFLORA CORTEX).,Instituto Mexicano del Seguro Social,Armando H. Herrera Arellano,2,Desarrollo y Evaluación de Tecnologías para la Salud
SEPSIS COMO CONSECUENCIA DEL SÍNDROME DE RESPUESTA ANTI-INFLAMATORIA COMPENSADORA (CARS) EN PACIENTES CON PANCREATITIS AGUDA,Instituto Mexicano del Seguro Social,ARMANDO ISIBASI ARAUJO,3,Enfermedades Infecciosas y Parasitarias
EVALUACIÓN ECONÓMICA DE DOS ESQUEMAS DE ATENCIÓN HOSPITALARIA DE PADECIMIENTOS PSIQUIÁTRICOS EN EL IMSS,Instituto Mexicano del Seguro Social,Armando Nevaréz Sida,,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"EFECTIVIDAD DE LA C.P.A.P NASAL SOBRE LA DISFUNCIÓN MIOCÁRDICA Y EL CONTROL GLUCÉMICO EN PACIENTES CON DIABETES MELLITUS TIPO 2, OBESIDAD Y SÍNDROME DE APNEA OBSTRUCTIVA DEL SUEÑO",Instituto Nacional de Enfermedades Respiratorias,ARMANDO ROBERTO CASTORENA MALDONADO,1,ENFERMEDADES CRÓNICAS
Influencia de polimorfismos genéticos de apolipoproteínas y enzimas del metabolismo de lipoproteínas sobre la respuesta a un tratamiento dietario en sujetos con hipercolesterolemia moderada.,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Armando Roberto Tovar Palacio,3,Enfermedades crónicas o degenerativas
ECOLOGÍA ALIMENTICIA DE POBLACIONES LARVARIAS DE AEDES AEGYPTI EN CONTENEDORES ARTIFICIALES DEL SUR DE CHIAPAS.,Instituto Nacional de Salud Pública,Armando Ulloa García,1,Enfermedades Infecciosas y Parasitarias
Efecto de la exposición a nanotubos de carbono sobre el endotelio vascular y la fibrinólisis,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Arnulfo Albores Medina,3,Desarrollo y Evaluación de Tecnologías para la Salud
"Validación de un panel biomarcador para el diagnóstico y pronóstico de sepsis, basado en la inmunofenotipificación de leucocitos circulantes humanos",Instituto Mexicano del Seguro Social,ARRIAGA PIZANO LOURDES ANDREA,1,Desarrollo y Evaluación de Tecnologías para la Salud
"EVALUACIÓN CLÍNICA, INMUNOLOGICA Y OBSTÉTRICA DE EMBARAZADAS COMPLICADAS CON INFLUENZA",Instituto Nacional de Perinatología,Arturo Cérbulo Vázquez,1,Influenza
Desarrollo de una prueba diagnóstica y diferencial de sepsis y síndrome de respuesta inflamatoria sistémica en periodo neonatal,Instituto Nacional de Perinatología,Arturo Cérbulo Vázquez,1,Desarrollo y Evaluación de Tecnologías para la Salud
EFECTO LA PROLACTINA SOBRE LA FUNCIÓN DE LOS LINFOCITOS T REGULADORES DE PACIENTES CON LUPUS ERITEMATOSO SITÉMICO Y SU POTENCIAL APLICACIÓN EN EL TRATAMIENTO,"Universidad Nacional Autónoma De México, UNAM",Arturo Edgar Zenteno Galindo,3,Enfermedades crónicas o degenerativas
ESTRATEGIAS DE PREVENCIÓN Y TRATAMIENTO DE LA OBESIDAD EN REGIONES GEOGRÁFICAS DEFINIDAS DE MÉXICO.,Universidad De Guadalajara,Arturo Panduro Cerda,3,Trastornos de la Nutrición
CARACTERIZACIÓN DE GENOTIPOS DE VHB EN POBLACIÓN MEXICANA PARA ESTABLECER ESTRATEGIAS ESPECIFICAS DE PREVENCIÓN Y TRATAMIENTO.,Universidad De Guadalajara,Arturo Panduro Cerda,3,Enfermedades Infecciosas y Parasitarias
ESTUDIO Y DESARROLLO DE UN EQUIPO DE RADIACIÓN ULTRASÓNICA ENFOCADA Y DE ALTA INTENSIDAD PARA EL TRATAMIENTO DE CÁNCER,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Arturo Vera Hernández,1,Neoplasias Malignas
DIAGNÓSTICO ETIOLÓGICO DE LA DEGENERACIÓN ESPINOCEREBELOSA EN POBLACIÓN MEXICANA,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Astrid Olivia Rasmussen Almaráz,2,Grupos Vulnerables
ANÁLISIS COSTO-EFECTIVIDAD DE LAS ALTERNATIVAS FÁRMACOLÓGICAS PARA LA DESHABITUACIÓN TABÁQUICA EN MÉXICO,Instituto Nacional de Salud Pública,Atanacio Valencia Mendoza,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
Desarrollo de un implante tridimensional de células madre mesenquimatosas modificadas genéticamente para reemplazo de cartílago articular,Universidad Autónoma De Nuevo León,AUGUSTO ROJAS MARTÍNEZ,2,Desarrollo y Evaluación de Tecnologías para la Salud
ASOCIACIONES ENTRE POLIMORFISMOS DEL GEN RNASEL INFECCIONES VIRALES CRÓNICAS Y CÁNCER DE PRÓSTATA,Universidad Autónoma De Nuevo León,AUGUSTO ROJAS MARTÍNEZ,2,Neoplasias malignas
MARCADORES GENÉTICOS EN SÍNDROMES CORONARIOS AGUDOS Y SU RELACIÓN CON EVENTOS CARDIOVASCULARES ADVERSOS.,Universidad Autónoma De Nuevo León,AUGUSTO ROJAS MARTÍNEZ,2,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
Diagnóstico molecular de las epilepsia de ausencias,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",AURELIO JARA PRADO,1,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
"ESTUDIO INTEGRAL DEL ESTADO DE SALUD EN INDIVIDUOS OCUPACIONALMENTE EXPUESTOS A PLAGUICIDAS: BIOMARCADORES DE EFECTO, EXPOSICIÓN Y SUCEPTIBILIDAD GENÉTICA",Universidad Autónoma De Nayarit,Aurora Elizabeth Rojas García,1,Grupos Vulnerables
Estudio de factibilidad de diagnóstico y seguimiento de respuesta al tratamiento de pacientes con Brucelosis por metodología PCR (comparación contra métodos serológicos),Universidad Autónoma Benito Juárez de Oaxaca,Beatriz Flores Samaniego,,Desarrollo y Evaluación de Tecnologías para la Salud
CARACTERIZACIÓN DEL PERFIL BIOQUÍMICO DE LAS SAXITOXINAS RELACIONADAS CON LA INTOXICACIÓN PARALIZANTE POR CONSUMO DE MOLUSCOS BIVALVOS EN EL LITORAL DE GUERRERO Y OAXACA.,Servicios Estatales de Salud,Beatríz Pérez Cruz,,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
"Análisis de los polimorfismos de genes HLA, IFNAR1 y TLR, para el estudio de susceptibilidad al desarrollo de la influenza pandémica A (H1N1) en Nuevo León, incluyendo la identificación de patógenos bacterianos oportunistas causantes de neumonía.",Instituto Mexicano del Seguro Social,Beatriz Silva Ramírez,1,Influenza
OFERTA Y DEMANDA POR SERVICIOS DE SALUD PARA LA ATENCIÓN DEL ABORTO EN HOSPITALES PÚBLICOS DE LA CIUDAD DE MÉXICO DE 2006 A 2009,Instituto Nacional de Salud Pública,Belkis Mercedes Aracena Genao,,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
ESTUDIOS DE FASE CLÍNICA II SOBRE LOS EFECTOS TERAPEÚTICOS ANTIADICTIVOS DE LA MIRTAZAPINA (REMERON) EN SUJETOS HUMANOS ADICTOS A COCAINA.,"Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""",Benito Antón Palma,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
NUEVAS ESTRATEGIAS PARA LA BUSQUEDA DE MARCADORES MOLECULARES PARA EL DIAGNÓSTICO DE LA ENFERMEDAD DE ALZHEIMER Y LA ATENCIÓN A LAS FAMILIAS AFECTADAS,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Benjamin Floran Garduño,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
ANÁLISIS DE LA EXPRESIÓN DE CAV1 Y PTRF (CAVINA-1) EN CÉLULAS MONONUCLEARES DE SANGRE PERIFÉRICA Y TUMORES DE OSTEOSARCOMA HUMANO EN POBLACIÓN MEXICANA Y SU CORRELACIÓN COMO MARCADORES DE MALIGNIDAD,Instituto Nacional de Rehabilitación,Benjamín Gómez Díaz,Candidato,Neoplasias malignas
EVALUACIÓN DE IMPACTO DE OPORTUNIDADES EN LA MORTALIDAD Y MORBILIDAD MATERNA,Instituto Nacional de Salud Pública,Bernardo Hernández Prado,1,Salud Reproductiva y Perinatal
INTERVENCIÓN FISICO-COGNITIVA PARA MEJORAR VELOCIDAD Y OTRAS CARACTERÍSTICAS DE LA MARCHA ANTE TÁREAS CONCURRENTES EN ADULTOS MAYORES DEL ÁREA METROPOLITANA DE MONTERREY.,Universidad Autónoma De Nuevo León,Bertha Cecilia Salazar González,2,Grupos Vulnerables
ANÁLISIS DE POLIMORFISMOS EN EL GEN RECEPTOR DE VITAMINA D EN PACIENTES CON OSTEOPOROSIS,Instituto Mexicano del Seguro Social,Bertha Ibarra Cortés,3,Enfermedades crónicas o degenerativas
"CARACTERIZACIÓN DE LA DROGO-RESISTENCIA A MYCOBACTERIUM TUBERCULOSIS EN PACIENTES CON TUBERCULOSIS PULMONAR EN MERIDA, YUCATÁN",Universidad Autónoma De Yucatán,Bertha María Guadalupe Jiménez Delgadillo,,Neoplasias malignas
"Búsqueda de daño cromosómico estructural en espermatozoides de pacientes con linfoma de Hodgkin que fueron tratados con MOPP y ABVD, por medio de FISH multicolor: ensayo AM8.",Instituto Nacional de Pediatría,BERTHA MOLINA ÁLVAREZ,1,Neoplasias malignas
ESTUDIO DEL EFECTO DE LA APOLIPOPROTEÍNA E EN DISLIPIDEMIAS EN PERSONAS CON SOBREPESO U OBESIDAD,Universidad De Guadalajara,BERTHA RUÍZ MADRIGAL,1,Enfermedades crónicas o degenerativas
Identificación de secuencias para optimizar la expresión de moléculas exógenas inhibidoras de la replicación del Virus Dengue en el vector Aedes aegypti,Instituto Nacional de Salud Pública,Bertha Veronica Valverde Garduño,1,Enfermedades infecciosas y parasitarias
ESTUDIO DE LA IMPLEMENTACIÓN DE LA ATENCIÓN A LA SALUD REPRODUCTIVA DE LOS Y LAS ADOLESCENTES DENTRO DE LA SECRETARÍA DE SALUD.,Instituto Nacional de Salud Pública,Bethany Leigh Allen Leigh,1,Salud Reproductiva y Perinatal
Desarrollo de un medicamento oftálmico altamente innovador para el tratamiento del glaucoma como efecto secundario de las personas que padecen diabetes principalmente.,"Laboratorios Serral, S.A. de C.V.",Bethel González Rodríguez,,Enfermedades crónicas o degenerativas
Estudio para determinar el uso de la fragilidad como un indicador temprano de discapacidad en _x000D_adultos mayores rurales en México,Instituto Nacional de Salud Pública,BETTY SOLEDAD MANRIQUE ESPINOZA,1,Grupos Vulnerables
"EFECTOS DEL CAMBIO CLIMÁTICO SOBRE LA CALIDAD DEL AGUA Y LAS ENFERMEDADES HÍDRICAS EN LA CIUDAD DE MÉXICO: RIEGOS, VULNERABILIDAD Y ADAPTACIÓN.","Universidad Nacional Autónoma De México, UNAM",Blanca Elena Jiménez Cisneros,3,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
Susceptibilidad a cirrosis y polimorfismos de los genes involucrados en el metabolismo del etanol,Universidad De Guadalajara,Blanca Estela Bastidas Ramírez,1,Trastornos de la Nutrición
Estudio de la asociación de la microbiota intestinal con la obesidad y sus complicaciones metabólicas en población infantil mexicana.,Instituto Nacional de Medicina Genómica (INMEGEN),BLANCA ESTELA LÓPEZ CONTRERAS,,Trastornos de la Nutrición
Implementación de un modelo intercultural de atención a la salud para adultos mayores tarahumaras,Instituto Nacional de Salud Pública,Blanca Estela Pelcastre Villafuerte,1,Grupos Vulnerables
"RESCATANDO LA EXPERIENCIA DE LA ""CASA DE LA MUJER INDÍGENA"": SISTEMATIZACIÓN Y EVALUACIÓN DEL PROCESO",Instituto Nacional de Salud Pública,Blanca Estela Pelcastre Villafuerte,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
IDENTIFICACIÓN DE UN MODELO DE ATENCIÓN A LA SALUD PARA ADULTOS MAYORES EN ZONAS INDÍGENAS,Instituto Nacional de Salud Pública,Blanca Estela Pelcastre Villafuerte,1,Grupos Vulnerables
"MicroRNAs en circulación sanguínea de pacientes con Cáncer pulmonar: nuevos marcadores, estables y específicos, para el diseño de una prueba diagnóstica no-invasiva y su posible aplicación como blancos terapéuticos a nivel sanguíneo en el Cáncer",Instituto Nacional de Enfermedades Respiratorias,Blanca Ortíz Quintero,1,Neoplasias Malignas
Desarrollo y aplicación de un sustituto biológico dermo-epidérmico para el tratamiento de pacientes con quemaduras de tercer grado,Instituto Nacional de Rehabilitación,BRENA MOLINA ANA MARÍA,,Accidentes y Violencia
evaluación e inducción de la respuesta inmune innata en pacientes geriátricos,Instituto Mexicano del Seguro Social,Bruno Tonatiuh Rivas Santiago,1,Grupos Vulnerables
USO DE INMUNOMODULADORES PARA EL TRATAMIENTO DE ÚLCERAS DE PIE DIABÉTICO,Instituto Mexicano del Seguro Social,Bruno Tonatiuh Rivas Santiago,1,Enfermedades crónicas o degenerativas
"VALORACIÓN DE LOS POLIMORFISMOS FUNCIÓNALES TNFA-308G>A, INFG (CA)N, IL10-1082A>G Y GRB-295A>G PARA EL ESTABLECIMIENTO DE UN PERFIL PREDICTOR Y DIAGNÓSTICO TEMPRANO DE RECHAZO AGUDO EN TRASPLANTE RENAL PEDIÁTRICO",Instituto Mexicano del Seguro Social,Caridad Aurea Leal Cortés,1,Enfermedades crónicas o degenerativas
Desarrollo de un modelo predictivo de la incidencia de la diabetes tipo2 en adultos mexicanos usando variables clínicas y metabolitos cuantificados por resonancia magnética nuclear,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",CARLOS ALBERTO AGUILAR SALINAS,3,Enfermedades crónicas o degenerativas
Consolidación de una cohorte de adultos residentes en el centro de México diseñada para medir la incidencia de la diabetes y de los componentes del síndrome metabólico,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",CARLOS ALBERTO AGUILAR SALINAS,3,Enfermedades crónicas o degenerativas
FACTORES DE RIESGO ASOCIADOS A LA ESCLEROSIS MÚLTIPLE EN MÉXICO: ESTUDIO MULTICÉNTRICO.,Instituto Nacional de Salud Pública,Carlos Alfonso Hernández Girón,1,Enfermedades crónicas o degenerativas
Modelación y Síntesis de nuevos derivados del Oseltamivir con actividad en cepas resistentes de virus AH1N1,"Universidad Nacional Autónoma De México, UNAM",Carlos Antonio Rius Alonso,,Influenza
CARACTERIZACIÓN GENOTÍPICA Y FENOTÍPICA DE Coccidioides EN POBLACIÓN MEXICANA Y SU RELACIÓN CON FORMAS PARASITARIAS,Instituto Nacional de Enfermedades Respiratorias,Carlos Cabello Gutiérrez,Candidato,Enfermedades crónicas o degenerativas
POLÍTICAS PÚBLICAS SECTORIALES E INTERSECTORIALES PARA MEJORAR LOS NIVELES DE SALUD.,Persona Física,Carlos Cruz Rivero,,Neoplasias malignas
DETECCCION Y DISMINUCIÓN DE FACTORES DE RIESGO OBESOGENICO EN PRE ESCOLARES COMO UNA ESTRATEGIA DE PREVENCIÓN PRIMARIA DE SOBREPESO Y OBESIDAD,Servicios Descentralizados de Salud Pública Del Estado de Campeche,Carlos Emilio Juárez López,,Trastornos de la Nutrición
Eficiencia de insecticidas biorracionales de última generación en el control de vectores del dengue.,Instituto Nacional de Salud Pública,CARLOS FELIX MARINA FERNANDEZ,1,Enfermedades infecciosas y parasitarias
"ECOLOGÍA E INCRIMINACIÓN DE VECTORES Y RESERVORIOS DE LEIHSMANIASIS CUTÁNEA EN LA REGIÓN FRONTERIZA DE CHIAPAS, MÉXICO.",Instituto Nacional de Salud Pública,CARLOS FELIX MARINA FERNANDEZ,1,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
Polimorfismos y niveles de expresión del gen de quimasa y su relación funcional sobre la expresión de genes vasoactivos como marcadores de riesgo para el desarrollo de la preeclampsia.,"Instituto Politécnico Nacional, I.P.N.",CARLOS GALAVIZ HERNÁNDEZ,1,Salud Reproductiva y Perinatal
Identificación de un elemento regulador común para la expresión de los genes KiSS1 y REN en placentas de mujeres con Preeclampsia-eclampsia comparado con placentas de mujeres con embarazo normo-evolutivo,"Instituto Politécnico Nacional, I.P.N.",CARLOS GALAVIZ HERNÁNDEZ,1,Salud Reproductiva y Perinatal
DISEÑO Y DESARROLLO DE ARTICULACIÓN REOMAGNÉTICA PARA ORTESIS DE MIEMBRO INFERIOR,Instituto Nacional de Rehabilitación,Carlos Galván Duque Gastélum,,Desarrollo y Evaluación de Tecnologías para la Salud
IMAGENOLOGIA DEL CEREBRO USANDO LASERES DE TERAHERTZ,"Instituto Nacional de Astrofísica, Óptica y Electrónica",Carlos Gerardo Treviño Palacios,1,Neoplasias malignas
PROGRAMA DE PREPARACIÓN PSICOLÓGICA PARA PROCEDIMIENTOS INVASIVOS EN CARDIOPATÍA ISQUÉMICA,"Universidad Nacional Autónoma De México, UNAM",CARLOS GONZALO FIGUEROA LÓPEZ,,ENFERMEDADES CRÓNICAS
IDENTIFICACIÓN DE BIOMARCADORES MOLECULARES EPIGENÉTICOS Y DE EXPRESIÓN ASOCIADOS AL DESARROLLO DE METÁSTASIS EN PACIENTES CON CÁNCER CÉRVICO-UTERINO. EMPLEO DE HERRAMIENTAS DE ANÁLISIS GENÓMICO BASADAS EN MICROARREGLOS.,Instituto Nacional de Cancerología,Carlos Guadalupe Pérez Plasencia,1,Neoplasias Malignas
BUSQUEDA DE MARCADORES MOLECULARES (EPIGENÉTICOS Y DE EXPRESIÓN) ASOCIADOS A LA RESPUESTA CLÍNICA EN PACIENTES CON CÁNCER CÉRVICO-UTERINO LOCALMENTE AVANZADO EMPLEANDO HERRAMIENTAS DE ANÁLISIS GENÓMICO.,Instituto Nacional de Cancerología,Carlos Guadalupe Pérez Plasencia,1,Neoplasias Malignas
Reemplazo de menisco con una bioprótesis de materiales sintéticos bioabsorbibles y células troncales autólogas.,Instituto Nacional de Rehabilitación,Carlos Javier Pineda Villaseñor,2,Enfermedades crónicas o degenerativas
evaluación del efecto condroprotector del menisco de bioingenería en un modelo ovino de osteoartritis.,Instituto Nacional de Rehabilitación,Carlos Javier Pineda Villaseñor,2,Enfermedades crónicas o degenerativas
DESARROLLO DE MÉTODOS MOLECULARES PARA ESTUDIAR LA HISTORIA NATURAL DE LAS INFECCIONES POR EL VIRUS DEL HERPES SIMPLE Y EL VIRUS DE PAPILOMA HUMANO,Instituto Nacional de Salud Pública,CARLOS JESUS CONDE GONZÁLEZ,2,Enfermedades Infecciosas y Parasitarias
"SEROEPIDEMIOLOGÍA A NIVEL NACIONAL DE TRES INFECCIONES DE TRANSMISIÓN SEXUAL CON EFECTOS SINERGÍSTICOS: VIH/SIDA, SIFILIS Y HERPES GENITAL",Instituto Nacional de Salud Pública,CARLOS JESUS CONDE GONZÁLEZ,2,Enfermedades infecciosas y parasitarias
DESARROLLO Y PUESTA EN PRÁCTICA DE UN SISTEMA DE GESTIÓN TECNOLÓGICA PARA LA INNOVACIÓN EN SALUD,Instituto Mexicano del Seguro Social,Carlos Lavalle Montalvo,2,Desarrollo y Evaluación de Tecnologías para la Salud
ASEGURAMIENTO EN SALUD Y PROTECCION SOCIAL.,Persona Física,Carlos Noriega Curtis,1,Desarrollo y Evaluación de Tecnologías para la Salud
"Polimorfismos de los genes de la adiponutrina, apolipoproteína C3 y lipasa hepática y su asociación con comorbilidades de la obesidad en población Mexicana","Instituto Nacional de Cardiología ""Ignacio Chávez""",Carlos Posadas Romero,2,Estudio de la interacción entre los genes y el ambiente en el desarrollo de la diabetes y obesidad.
