Campo1,TITULO DEL PROYECTO
2002,"CARACTERIZACIÓN DE LA DROGO-RESISTENCIA A MYCOBACTERIUM TUBERCULOSIS EN PACIENTES CON TUBERCULOSIS PULMONAR EN MERIDA, YUCATÁN"
2002,CARACTERIZACIÓN DE LA SEÑALIZACIÓN ENTRE LEUCOCITOS Y CÉLULAS DEL CORIOAMNIOS EN EL DESARROLLO DELA RUPTURA PREMATURA DE MEMBRANAS.
2007,CARACTERIZACIÓN DE LA VULNERABILIDAD ASOCIADA AL CAMBIO CLIMÁTICO EN MÉXICO Y SUS EFECTOS LOCALES EN LA SALUD
2010,Caracterización de los factores genéticos y medioambientales determinantes en la incidencia de diabetes y obesidad en población mexicana. Comparación con diversas poblaciones europeas usando asociación del genoma completo (genome wide scan association).
2007,"CARACTERIZACIÓN DE MUTACIONES EN LOS GENES TTF-1, TTF-2 Y PAX8 EN PACIENTES CON DIAGNÓSTICO DE HIPOTIROIDISMO CONGÉNITO POR DISGENESIA"
2009,"Caracterización de mutaciones y polimorfismos en los genes CRELD1, NKX2.5 y GATA4 en una muestra de pacientes mexicanos con síndrome de Down y defectos de septación cardiaca."
2005,CARACTERIZACIÓN DE NUEVOS CORREGULADORES DEL RECEPTOR NUCLEAR DE ESTRÓGENO COMO MARCADORES DE RIESGO Y DIAGNÓSTICO DE CÁNCER DE MAMA EN MUJERES MEXICANAS
2004,CARACTERIZACIÓN DE PATRONES DE EXPRESIÓN GÉNICA DE TIPOS Y VARIANTES DE VPH DE ALTO RIESGO EN LESIONES PREMALIGNAS Y CÁNCER DE CERVIX EN MUJERES MEXICANAS.
2011,"Caracterización de patrones de movilidad de los casos de dengue de una población endémica urbana del estado de Morelos, México."
2005,CARACTERIZACIÓN DE VARIANTES GENÉTICAS ASOCIADAS A LA ADICCION A LA NICOTINA EN FAMILIAS MEXICANAS
2009,Caracterización de variantes genéticas asociadas al riesgo y/o grado de severidad de la influenza A H1N1 por parte de los genes relacionados al procesamiento y presentación de antígenos virales.
2008,CARACTERIZACIÓN DEL PERFIL BIOQUÍMICO DE LAS SAXITOXINAS RELACIONADAS CON LA INTOXICACIÓN PARALIZANTE POR CONSUMO DE MOLUSCOS BIVALVOS EN EL LITORAL DE GUERRERO Y OAXACA.
2006,CARACTERIZACIÓN DEL PROCESO INFLAMATORIO DE LA ENFERMEDAD ATEROSCLEROSA CAUSADO POR LIPOPROTEÍNAS DE BAJA DENSIDAD OXIDADA A TRAVÉS DE LOS RECEPTORES SEMEJANTES A TOLL EN CÉLULAS PROVENIENTES DE PACIENTES CON SÍNDROME CORONARIO AGUDO
2010,Caracterización del transcriptoma y proteoma de leucocitos placentarios durante el trabajo de parto humano.
2005,CARACTERIZACIÓN EPIDEMIOLÓGICA DE TUBERCULOSIS LATENTE Y MARCADORES MOLECULARES DE PROGRESIÓN A TUBERCULOSIS PULMONAR EN PACIENTES CON DIABETES MELLITUS TIPO 2 DE DURANGO Y ZACATECAS
2004,"CARACTERIZACIÓN ESPACIAL DE LOS PATRONES DE TRANSMISIÓN DE SEROTIPOS VIRUS DENGUE EN ÁREAS HIPERENDEMICAS DEL SOCONUSCO, CHIAPAS."
2012,"Caracterización fenotípica y molecular de la resistencia a amoxicilina, alaritromicina y metronidazol, y su relación con caga, vaca, icea y baba2, en cepas de Helicobacter pylori aisladas de pacientes con gastritis, ulcera y Cáncer gástrico en Guerre"
2007,"CARACTERIZACIÓN GENÉTICA, PROTEICA E INMUNOLÓGICA DE LA SUBCEPA BACILO DE CALMETTE-GUERIN BCG MÉXICO"
2005,CARACTERIZACIÓN GENÓMICA ESPECÍFICO-CUALITATIVA Y CUANTITATIVA DE TRANSLOCACIONES RECURRENTES ASOCIADAS A SÍNDROMES LINFOPROLIFERATIVOS.
2011,CARACTERIZACIÓN GENOTÍPICA Y FENOTÍPICA DE Coccidioides EN POBLACIÓN MEXICANA Y SU RELACIÓN CON FORMAS PARASITARIAS
2010,Caracterización molecular de aislados de Mycobacterium tuberculosis multifármacorresistentes (MDR) obtenidos durante la Encuesta Nacional de Farmacorresistencia en México.
2009,Caracterización molecular de cepas atípicas del virus de la influenza A H1N1
2005,CARACTERIZACIÓN MOLECULAR DE LOS PUNTOS DE RUPTURA DE LA FUSIÓN BCR/ABL1 EN LEUCEMIA MIELOIDE CRÓNICA CON T(9 22)(Q34 Q11)
2013,CARACTERIZACIÓN MOLECULAR DE NOROVIRUS CIRCULANTES EN SONORA: AUXILIAR DIAGNÓSTICO DE ENFERMEDADES INTESTINALES DE ETIOLOGIA DESCONOCIDA
2009,CARACTERIZACIÓN QUÍMICO-BIOLÓGICA DE COMPUESTOS CON POTENCIAL ANTIDIABÉTICO DERIVADOS DE PLANTAS NATIVAS
2004,Carga de la enfermedad de la cardiopatía isquémica de la población derechohabiente al IMSS en el Hospital de Cardiología del CMN Siglo XXI y su relación con los costos por atención médica
2011,CASAS Y ESCUELAS A PRUEBA DE Aedes aegypti PARA MAXIMIZAR EL CONTROL Y LA PREVENCIÓN DEL DENGUE EN ÁREAS DE RIESGO EN YUCATÁN
2013,"Causas de muerte súbita infantil y en la edad pediátrica, patrones de herencia y genes involucrados."
2002,CÉLULAS HUMANAS DE LA SANGRE DE CORDON UMBILICAL COMO FUENTE PARA LA GENERACIÓN DE CÉLULAS Y TEJIDOS CON FINES DE TRASPLANTE
2007,"CÉLULAS TRONCALES LEUCÉMICAS: CARACTERIZACIÓN BIOLÓGICA IN VITRO Y ESTUDIO DE SISTEMAS DE CULTIVO PARA EVALUAR EL EFECTO DE AGENTES ANTINEOPLÁSICOS Y ELIMINAR, DE MANERA SELECTIVA, A CÉLULAS HEMATOPOYÉTICAS LEUCÉMICAS"
2005,CITOTOXICIDAD UROEPITELIAL ASOCIADA A CONCENTRACIONES DE MERCURIO EN ORINA Y SU RELACIÓN CON GRADIENTES DE EXPOSICIÓN DE MERCURIO EN SUELO
2008,COHORTE DE TRABAJADORES DEL IMSS
2002,COHORTE DE TRABAJADORES DEL IMSS MORELOS
2002,COLABORACIÓN PUBLICO - PRIVADO EN LA PRESTACION DE SERVICIOS DE SALUD EN MÉXICO Y EL PAPEL DEL ESTADO EN SU REGULACIÓN
2003,Colagena-PVP para el tratamiento de artritis reumatoide
2012,"Comparación de la administración de exenatide en 3 horarios diferentes de ingesta de alimento, sobre la variabilidad y control glucémicos, en pacientes con diabetes mellitus tipo 2 y falla a metformina"
2008,"COMPARACIÓN DE LA FRECUENCIA DE POLIMORFISMOS GENÉTICOS ASOCIADOS A OBESIDAD, DISLIPIDEMIA, SÍNDROME METABÓLICO Y DIABETES MELLITUS EN 2 POBLACIONES INDÍGENAS DE BAJA PREVALENCIA VERSUS 2 POBLACIONES MESTIZAS DE ALTA PREVALENCIA."
2004,Comparacion de la ligadura endoscopica mas la administracion de propranolol contra propranolol solo como estrategia para la prevencion primaria de la hemorragia de origen variceal.
2009,Comparación de la modalidad de diálisis sobre algunos marcadores antioxidantes y de estrés oxidativo en pacientes con insuficiencia renal crónica.
2007,"COMPARACIÓN DE LA RESPUESTA INMUNE SECUNDARIA A DOS VACUNAS CONTRA SARAMPIÓN, RUBÉOLA Y PAROTIDITIS APLICADAS POR AEROSOL O POR INYECCIÓN EN NIÑOS DE 6-7 AÑOS DE EDAD"
2013,Comparación de los niveles circulantes de Irisina y cambios en tejido adiposo subcutáneo antes y después del ejercicio en sujetos con diferentes IMC
2007,"COMPARACIÓN DEL EFECTO DE LA SUPLEMENTACIÓN DIARIA CON DOS FORMAS DE HIERRO: SULFATO FERROSO VS. HIERRO BIS-GLICINO- AMINOQUELADO, SOBRE EL ESTADO NUTRICIO DE HIERRO EN ESCOLARES CON DEFICIENCIA DE HIERRO Y/O ANEMIA"
2013,COMPARACION DEL ESTADO INFLAMATORIO ENTRE PACIENTES RECEPTORES DE TRASPLANTE RENAL CON INJERTO RENAL NO FUNCIONAL Y PACIENTES EN DIÁLISIS NO TRASPLANTADOS.
2008,"COMPARACIÓN ENTRE LOS NIVELES DE EXPOSICIÓN A CONTAMINANTES CONTENIDOS EN PARTÍCULAS ATMOSFÉRICAS EN AMBIENTES CERRADOS Y EN EL EXTERIOR EN ZONAS DE ALTA RESUSPENSION EN CD. JUÁREZ, CHIHUAHUA"
2009,Complicaciones Neurológicas Asociadas con el Virus de la Influenza A (H1N1) en la Población Mexicana.
2013,"COMPONENTES DEL SÍNDROME METABÓLICO, RIESGO CARDIOVASCULAR Y POLIMORFISMO DEL PAI-1 EN MUJERES POSMENOPÁUSICAS."
2013,"Compuestos adictivos, aditivos y carcinogénicos en cigarros mexicanos y su asociación con adictividad y cesación en fumadores."
2004,COMUNICACION DE LA CIENCIA COMO UN MEDIO PARA PREVENIR ENFERMEDADES INFECCIOSAS
2009,CONCENTRACIÓN SÉRICA DE VITAMINA D [25(OH)D3] SU ASOCIACIÓN CON LA DENSIDAD MINERAL ÓSEA Y POLIMORFISMOS DEL RECEPTOR DE VITAMINA D EN UNA COHORTE DE INDIVIDUOS SANOS DEL ESTADO DE MÉXICO
2011,"Conducta de búsqueda y TDAH, un modelo para el estudio clínico del TDAH y el análisis de las funciones ejecutivas."
2009,CONSECUENCIAS EN LA FUNCIÓN PULMONAR Y CALIDAD DE VIDA EN PACIENTES QUE TUVIERON UNA NEUMONÍA GRAVE POR INFLUENZA A (H1N1). UN ESTUDIO LONGITUDINAL
2003,Consecuencias genotóxicas de la quimioterapia ABVD en gametos y células somáticas de pacientes con Enfermedad de Hodgkin
2009,Consolidación de una cohorte de adultos residentes en el centro de México diseñada para medir la incidencia de la diabetes y de los componentes del síndrome metabólico
2003,Consolidación de una red de investigación y diagnóstico de enfermedades virales
2008,CONSTRUCCION Y VALIDACIÓN DEL INVENTARIO DE CONDUCTAS DISOCIALES
2013,CONTRIBUCIÓN DE LAS CÉLULAS TRONCALES CÁNCEROSAS A LA QUIMIORESISTENCIA MEDIADA POR EL EJE P38-YY1-MDR EN LOS LINFOMAS NO-HODGKIN PEDIÁTRICOS
2011,"Contribución de variaciones de los genes LMF1, GPIHBP1 y APO AV en la génesis de la quilomicronemia"
2008,CONTRIBUCIÓN DEL LOCUS HLA-DP EN LA EXPRESIÓN DE LAS LEUCEMIAS AGUDAS EN NIÑOS MEXICANOS
2003,CONTRIBUCIÓN DEL LOS PATRONES DE ALIMENTACIÓN DE ACTIVIDAD FÍSICA Y EL GASTO TOTAL DE ENERGÍA A LA GENESIS DE LA OBESIDAD DURANTE LA EDAD ESCOLAR.
2010,Control optogenético del apetito: caracterización de una nueva terapia alternativa para controlar la obesidad
2009,Correlación de la expresión del gen Bik con la expresión de los genes hMAM y CK-9 en células circulantes en sangre periférica y tejido mamario neoplásico de mujeres mexicanas con cáncer de mama.
2009,CORRELACIÓN DE LOS NIVELES DE EXPRESIÓN DE FACTORES TRANSCRIPCIONALES EN TEJIDO ADIPOSO Y SANGUINEO PARA LA DETERMINACIÓN DE BIOMARCADORES DE RESPUESTA A UN TRATAMIENTO EJERCICIO Y DIETA PARA PERSONAS OBESAS CON Y SIN ESTEATOSIS
2013,Correlación de parámetros clínicos con la pérdida de función de la prolidasa responsable del reciclaje de colágenas en pacientes con osteoartritis
2007,CORRELACIÓN ENTRE TOLERANCIA A LPS Y MODULADORES DE RESPUESTA INFLAMATORIA EN SEPSIS NEONATAL (CURSO CLÍNICO Y PRONÓSTICO)
2005,CORRELACIÓN ENTRE EL USO DE RECURSOS COSTOS Y LA MORBI-MORTALIDAD EN LAS UNIDADES DE TERAPIA INTENSIVA MEXICANAS.
2006,"CORRELACIÓN GENÉTICA ENTRE LOS POLIMORFISMOS DE LOS GENES APOPROTEÍNA E, APOPROTEÍNA B Y PROTEÍNA MICROSOMAL DE TRANSFERENCIA DE TRIGLICÉRIDOS, CON EL PERFIL DE LÍPIDOS EN PACIENTES CON HIPERLIPIDEMIA FAMILIAR COMBINADA"
2004,CORTE DE PRECISION DE TEJIDO BIOLÓGICO POR MEDIO DE RAYO LASER PARA BIOPRÓTESIS CARDIACAS
2003,Costo efectividad del tratamiento y prevención de Osteoporosis en pacientes con fractura de cadera.
2005,COSTO-EFECTIVIDAD DE UNA ESTRATEGIA DIAGNÓSTICA DE HEPATITIS CRÓNICA C EN DONADORES DE SANGRE ASINTOMÁTICOS.
2011,Costo-efectividad y retos de implementación de intervenciones interculturales de salud materna en poblaciones indígenas de México
2005,COSTOS Y DETERMINANTES DE ENFERMEDADES HEPÁTICAS CRÓNICAS Y CIRROSIS EN LOS PARTICIPANTES DEL ESTUDIO DE COHORTE DE TRABAJADORES DEL IMSS: UN ESTUDIO PROSPECTIVO
2002,CREACION DE UNA CLÍNICA UNIVERSITARIA PARA EL DIAGNÓSTICO Y TRATAMIENTO DE NIÑOS CON ANTECEDENTES PRE O PERINATALES DE RIESGO DE DAÑO CEREBRAL
2011,CREACIÓN DE UNA CÓRNEA HUMANA A PARTIR DE CÉLULAS TRONCALES DE MEMBRANA AMNIÓTICA
2005,CREACIÓN DE UNA UNIDAD PARA LA PRODUCCIÓN DE ROEDORES MODIFICADOS GENÉTICAMENTE
2004,Criterios para la asignación de población derechohabiente a Médico Familiar y capacidad de producción de servicios de salud
2012,Cuantificación in vivo de GABA y Glutamato en pacientes con primer episodio de esquizofrenia: estudio longitudinal con espectroscopia por resonancia magnética
2007,CUENTAS EN DIABETES MELLITUS Y ENFERMEDADES CARDIOVASCULARES
2009,"Daño neuronal asociado a la hipoglucemia, su relevancia para la isquemia cerebral y posible protección por cuerpos cetónicos"
2005,DE JOVEN A JOVEN. INTERVENCIÓN INTERCULTURAL PARA PROMOVER LA SALUD MENTAL DE LOS ADOLESCENTES ÑAHÑU. FASE 1 CREACION DE LOS RECURSOS.
2009,DEFINICIÓN ANATOMOFISIOLÓGICA DEL ÁREA SUBTALÁMICA POSTERIOR EN EL HOMBRE Y SUS IMPLICACIONES EN LA FISIOPATOLOGÍA Y TRATAMIENTO QUIRÚRGICO DE LA ENFERMEDAD DE PARKINSON
2009,Dehidroepiandrosterona: Estudio de sus posibles mecanismos moleculares antifibrosantes y su importancia como biomarcador para el diagnóstico y pronóstico de la fibrosis pulmonar idiopática
2010,Densidad mineral ósea y osteoporosis en mujeres mexicanas: estudio de asociación del genoma completo.
2005,IDENTIFICACIÓN DE MARCADORES MOLECULARES RELACIONADOS CON GRAVEDAD Y RIESGO A DESARROLLAR ASMA EN POBLACIÓN MEXICANA
2004,Depresión en niños y adolescentes con SIDA. Intervenciones de manejo
2013,"Depresión, ansiedad y síntomas somáticos en el primer nivel de atención: Estudio de campo para la CIE-11."
2002,"DESARROLLO DE ANTINEOPLÁSICOS SINTÉTICOS ""DE NOVO""Y SU EVALUACIÓN PRECLÍNICA"
2010,Desarrollo de Autopsia Molecular para el Estudio de Casos con Muerte Subita Inexplicada
2011,Desarrollo de calzado con características biomecánicas para mejorar la movilidad en pacientes usuarios de férulas de tobillo-pie
2006,DESARROLLO DE ELECTROCARDIOGRAFO INALÁMBRICO EN LA BANDA DE 2.4 GHZ PARA MÚLTIPLES PACIENTES
2004,Desarrollo de Escalas Epidemiológicas para estimar el riesgo prevalente e incidente a Infección Nosocomial en Sitio Quirúrgico a través de factores intrínsecos y extrínsecos para cirugías de mayor demanda en hospitales de segundo y tercer nivel en la ciud
2003,Desarrollo de fitofarmacos prototipo a partir de Hibiscus sabdariffa y Mimosa tenuiflora
2004,DESARROLLO DE HERRAMIENTAS PARA DIAGNÓSTICO CONSULTA Y EDUCACIÓN MÉDICA CONTINUA A DISTANCIA EN LOS TRES NIVELES DE ATENCIÓN MÉDICA
2004,DESARROLLO DE IMPLANTES ORTOPÉDICOS Y SU ANÁLISIS POR MEDIO DEL MEDIO DEL MÉTODO DEL ELEMENTO FINITO
2010,Desarrollo de la prueba de ELISpot para el diagnóstico inmunológico de la infección por el virus de la influenza A H1N1.
2005,DESARROLLO DE MARCADORES CLÍNICOS PRONÓSTICOS DE ENFERMEDAD HIPERTENSIVA ASOCIADA AL EMBARAZO.
2012,Desarrollo de matrices de arabinoxilanos ferulados como sistemas para la liberación controlada de insulina
2009,Desarrollo de métodos moleculares cuantitativos para estimar la progresión de las lesiones preneoplásicas y neoplásicas del cérvix
2004,DESARROLLO DE MÉTODOS MOLECULARES PARA ESTUDIAR LA HISTORIA NATURAL DE LAS INFECCIONES POR EL VIRUS DEL HERPES SIMPLE Y EL VIRUS DE PAPILOMA HUMANO
2004,DESARROLLO DE MÉTODOS PARA LA SIMPLIFICACIÓN DEL DIAGNÓSTICO DE LABORATORIO DE DENGUE.
2013,DESARROLLO DE MODELO DE FORMACIÓN TORACOSCÓPICA PARA ATRESIA ESOFÁGICA TIPO III EN CONEJO
2010,"Desarrollo de nuevos fitofármacos para el tratamiento de la diabetes a partir de las especies medicinales Artemisia mexicana, Brickellia cavanillesii, Anoda cristata y Hintonia standleyana."
2007,DESARROLLO DE PLANTILLAS ERGONÓMICAS PARA USUARIOS CON SOBREPESO Y DEFORMACIÓN PLANTAR EN LOS PIES
2007,"DESARROLLO DE PRUEBAS DIAGNÓSTICAS PARA ARTRITIS REUMATOIDE TEMPRANA, BASADO EN UN ESTUDIO MULTICÉNTRICO DEL VALOR PREDICTIVO DE POLIMORFISMOS DE UNA BASE (SNPS) Y DE LOS PERFILES DE EXPRESIÓN PROTEICA PARA LA RESPUESTA A DISTINTAS MODALIDADES TERAPEUTICA"
2010,"DESARROLLO DE TECNOLOGÍA MOLECULAR PARA EL DIAGNÓSTICO ETIOLÓGICO DE ENFERMEDAD DIARREICA, DIRIGIDO A BACTERIAS Y PARÁSITOS MAS PREVALENTES EN MÉXICO"
2007,DESARROLLO DE TECNOLOGÍA PARA LA FABRICACIÓN DE TARTRATO DE TOLTERODINA
2007,"DESARROLLO DE TECNOLOGÍA PARA LA OBTENCIÓN DE PREGABALINA EN UQUIFA MÉXICO, S.A. DE C.V."
2002,DESARROLLO DE TECNOLOGÍAS PARA LA FABRICACIÓN DE FARMOQUÍMICOS GENÉRICOS
2005,DESARROLLO DE TECNOLOGÍAS PARA LA FABRICACIÓN DE FARMOQUÍMICOS GENÉRICOS EN UQUIFA MÉXICO S. A. DE C. V. (TERCERA FASE)
2009,DESARROLLO DE TECNOLOGÍAS PARA LA PREVENCIÓN Y DIAGNÓSTICO DE LA ENFERMEDAD CELIACA EN LOS NIÑOS
2004,DESARROLLO DE UN BANCO DE TEJIDOS EN EL IMSS PARA EL SECTOR SALUD. CARACTERIZACIÓN ESTRUCTURAL Y FUNCIONAL DE TEJIDOS DUROS Y BLANDOS PARA SU UTILIZACIÓN EN ALOTRASPLANTES EN HUMANOS.
2007,DESARROLLO DE UN ENSAYO PARA LA DETERMINACIÓN DE INTERACCIÓNES FÁRMACOLÓGICAS Y SENSIBILIDAD A FÁRMACOS DE MICOBACTERIAS NO TUBERCULOSAS
2013,Desarrollo de un equipo electrónico de ayuda médica para la detección temprana de las complicaciones de la isquemia en el pie del paciente diabético.
2007,DESARROLLO DE UN ESPECTRÓMETRO DE PLASMA INDUCIDO POR LÁSER PARA LA DETERMINACIÓN DE CONTAMINACIÓN CON METALES PESADOS
2010,Desarrollo de un fitomedicamento antidepresivo y ansiolitico con base en el extracto estadarizado de Tilia americana
2007,DESARROLLO DE UN FITOMÉDICAMENTO ANTIMICÓTICO ELABORADO CON EL EXTRACTO DE AGERATINA PICHINCHENSIS Y ENSAYO CLÍNICO DOBLE CIEGO CONTROLADO CON CICLOPIROX AL 8 % PARA EVALUAR SU EFECTIVIDAD Y TOLERABILIDAD TERAPEUTICA EN ONICOMICOSIS LEVE Y MODERADA
2009,Desarrollo de un fitomedicamento con base en el extracto estandarizado de Sechium edule para el tratamiento de las complicaciones vasculares de la Hipertension Arterial Cronica
2011,Desarrollo de un implante osteogénico generado mediante técnicas de ingeniería tisular para reparar defectos óseos maxilares
2009,Desarrollo de un implante tridimensional de células madre mesenquimatosas modificadas genéticamente para reemplazo de cartílago articular
2004,Desarrollo de un medicamento oftálmico altamente innovador para el tratamiento del glaucoma como efecto secundario de las personas que padecen diabetes principalmente.
2004,"DESARROLLO DE UN MÉTODO GASTROINTESTINAL IN VITRO PARA EVALUAR LA BIODISPONIBILIDAD DE PB, ZN, CD, CR, CU Y MN EN POLVOS URBANOS"
2005,DESARROLLO DE UN MÉTODO NO INVASIVO PARA EL PRONÓSTICO DE LA QUERATOCONJUNTIVITIS ALERGICA.
2008,DESARROLLO DE UN MÉTODO PARA EL DIAGNÓSTICO RÁPIDO DIFERENCIAL DE FIEBRES HEMORRÁGICAS
2011,Desarrollo de un método rápido de drogosusceptibilidad para M. tuberculosis mediante el uso de materiales cerámicos
2005,DESARROLLO DE UN MICROARREGLO DE ADN PARA ANALIZAR EL REPERTORIO DE LA REGIÓN VARIABLE DE LOS ANTICUERPOS A ESCALA GENÓMICA.
2012,DESARROLLO DE UN MODELO DE ATENCIÓN A LA SALUD MENTAL DE MIGRANTES INDÍGENAS DE LA ZONA METROPOLITANA DE GUADALAJARA.
2008,DESARROLLO DE UN MODELO DE ATENCIÓN COMUNITARIA PARA EL ENVEJECIMIENTO SALUDABLE BAJO EL ENFOQUE DEL ENVEJECIMIENTO ACTIVO
2011,DESARROLLO DE UN MODELO DE CRIOPRESERVACIÓN DE ALOINJERTOS HUMANOS CON FINES DE TRASPLANTE: ESTUDIO MULTICÉNTRICO PARA EVALAUAR LA SEGURIDAD Y ESTABILIDAD BIOLÓGICA.
2010,"Desarrollo de un modelo espacial para el análisis predictivo por georeferenciación del vector, transmisión y riesgo de la enfermedad de Chagas."
2009,Desarrollo de un modelo experimental fetal para el recubrimiento intrauterino de defectos abiertos de tubo neural.
2011,Desarrollo de un modelo predictivo de cuadros hemorrágicos debidos al virus del dengue basado en el análisis de polimorfismos de nucleótidos únicos presentes en el promotor de DC-SIGN y TNF-alfa y en la secuenciación completa del gen E viral.
2012,Desarrollo de un modelo predictivo de la incidencia de la diabetes tipo2 en adultos mexicanos usando variables clínicas y metabolitos cuantificados por resonancia magnética nuclear
2007,DESARROLLO DE UN NEOTEJIDO APLICANDO TÉCNICAS DE TRENZADO Y ESTIMULACIÓN MECÁNICA COMO ALTERNATIVA PARA LA SUSTITUCIÓN DE LIGAMENTO.
2009,Desarrollo de un panel para la detección de los agentes causales de bacteriemia/sepsis a partir de hemocultivos positivos
2006,DESARROLLO DE UN PROCESO BIOTECNOLÓGICO PARA LA PRODUCCIÓN DEL PRECURSOR SHIKIMATO Y DE UN PROCESO QUÍMICO PARA SU TRANSFORMACIÓN EN EL ANTIVIRAL OSELTAMIVIR.
2012,Desarrollo de un programa de telefonía celular para mejorar la retención y adherencia de pacientes de VIH SIDA en la Ciudad de México
2009,Desarrollo de un programa de vigilancia epidemiológica de la gastroenteritis viral infantil en México
2007,DESARROLLO DE UN SISTEMA ACARREADOR DE ANTÍGENOS MEDIANTE LA EXPRESIÓN DE UN DOMINIO DE UNIÓN A BIOTINA FUSIONADO CON EL AUTOTRANSPORTADOR SHDA EN LA SUPERFICIE DE SALMONELLA ENTERICA SEROVAR TYPHIMURIUM.
2012,DESARROLLO DE UN SISTEMA DE CIRUGÍA ASISTIDA POR COMPUTADORA PARA LA RESECCIÓN DE NEOPLASIAS INTRACRANEALES
2009,Desarrollo de un sistema de diagnóstico temprano para dengue e identificación de factores de riesgo de progresión a dengue hemorrágico
2003,DESARROLLO DE UN SISTEMA INTELIGENTE DE INFORMACIÓN ESTRATÉGICA SOBRE TECNOLOGÍA PARA LA SALUD(TPS)
2011,Desarrollo de un sustituto biológico de piel para el tratamiento de quemaduras mediante técnicas de ingeniería de tejidos.
2012,Desarrollo de una herramienta pronóstico de respuesta al tratamiento con levetiracetam mediante el análisis in vivo de la expresión de la proteína SV2A en pacientes pediátricos con epilepsia parcial
2006,DESARROLLO DE UNA METODOLOGÍA PARA DIAGNÓSTICO Y FOMENTO DE LA ADHERENCIA AL TRATAMIENTO DE PACIENTES CON ENFERMEDADES CRÓNICAS Y EVALUACIÓN DE SU IMPACTO SOBRE FACTORES DE RIESGO CARDIOVASCULAR.
2012,DESARROLLO DE UNA PLATAFORMA DE PCR EN TIEMPO REAL PARA LA IDENTIFICACIÓN DE GENES DE RESISTENCIA A ANTIBIÓTICOS EN BACTERIAS CAUSALES DE SEPSIS NEONATAL
2008,DESARROLLO DE UNA PRUEBA DE ALIENTO CON 13C-METIONINA PARA LA IDENTIFICACIÓN DE PACIENTES CON HIPERHOMOCISTEINEMIA.
2010,Desarrollo de una prueba de aliento con 13-Glucosa para el diagnóstico de resistencia a la insulina en población pediátrica.
2010,Desarrollo de una prueba diagnóstica y diferencial de sepsis y síndrome de respuesta inflamatoria sistémica en periodo neonatal
2012,DESARROLLO DE UNA PRUEBA DIAGNÓSTICA Y PRONÓSTICA PARA PACIENTES MEXICANAS CON DIAGNÓSTICO DE CÁNCER DE MAMA BASADA EN LA DETERMINACIÓN DE LOS NIVELES SÉRICOS DE AGP.
2008,DESARROLLO DE UNA TÉCNICA DE CITOMETRÍA DE FLUJO PARA LA DETERMINACIÓN INTRACÉLULAR DE LA PROTEÍNA NS1 (DV-NS1-CF) PARA EL DIAGNÓSTICO TEMPRANO DE CASOS DE DENGUE
2012,DESARROLLO DE UNA TECNOLOGÍA PARA LA IDENTIFICACIÓN RAPIDA DE TOXOPLASMOSIS ACTIVA EN PACIENTES INMUNOSUPRIMIDOS Y MUJERES EMBARAZADAS.
2008,DESARROLLO DE UNA TECNOLOGÍA PARA PRODUCIR VACUNAS MAS BARATAS Y MAS EFICIENTES
2013,Desarrollo de una vacuna contra Salmonellas no tifoídicas utilizando porinas de Salmonella typhimurium
2010,Desarrollo de una Vacuna de Administración Nasal contra la Proteína Transferidora de Ésteres de Colesterol
2009,Desarrollo de vacuna recombinante para la prevención y control de la Influenza Humana A/H1N1
2007,DESARROLLO DE VACUNAS CONTRA VIRUS DENGUE MEDIANTE ANÁLISIS BIOINFORMÁTICO DEL GENOMA VIRAL
