Proyecto,Institucion,Colaborador,Nivel,Inst Colaborador,Especialidad
S0008-2010-01-141375 Determinación de mutaciones en los genes MLH1 y MSH2 en pacientes mexicanos con carcinoma colorrectal hereditario no poliposico,Instituto Nacional de Cancerología,Lucía Guadalupe Taja Chayab,Nivel 1,"Instituto Nacional De Cardiología ""Ignacio Chavez""",
S0008-2010-01-141375 Determinación de mutaciones en los genes MLH1 y MSH2 en pacientes mexicanos con carcinoma colorrectal hereditario no poliposico,Instituto Nacional de Cancerología,Silvia Vidal Millán,,SECRETARIA DE SALUBRIDAD Y ASISTENCIA,GENÉTICA CLÍNICA
S0008-2010-01-141375 Determinación de mutaciones en los genes MLH1 y MSH2 en pacientes mexicanos con carcinoma colorrectal hereditario no poliposico,Instituto Nacional de Cancerología,Olga Gutiérrez Hernández,,"Instituto Nacional De Cardiología ""Ignacio Chavez""",QUIMICA Y FARMACOBIOLOGÍA
SÍNDROME DE COLON IRRITABLE: PAPEL ETIOLÓGICO DE PROTOZOO INTESTINALES Y DE LOS POLIMORFISMOS DE CITOCINAS PROINFLAMATORIAS,"Hospital General ""Dr. Manuel Gea González""",MARIA ANGELICA ALFONSINA OLIVO DÍAZ,Nivel 1,Instituto Nacional de Diagnóstico y Referencia Epidemiológica,Inmunoparasitología
SÍNDROME DE COLON IRRITABLE: PAPEL ETIOLÓGICO DE PROTOZOO INTESTINALES Y DE LOS POLIMORFISMOS DE CITOCINAS PROINFLAMATORIAS,"Hospital General ""Dr. Manuel Gea González""",Ana Flisser Steinbruch,Nivel 3,"Universidad Nacional Autónoma De México, UNAM",Inmunoparasitología
SÍNDROME DE COLON IRRITABLE: PAPEL ETIOLÓGICO DE PROTOZOO INTESTINALES Y DE LOS POLIMORFISMOS DE CITOCINAS PROINFLAMATORIAS,"Hospital General ""Dr. Manuel Gea González""",ANGEL MANJARREZ HERNÁNDEZ,,"Universidad Nacional Autónoma De México, UNAM - Facultad de medicina",MICROBIOLOGÍA
SÍNDROME DE COLON IRRITABLE: PAPEL ETIOLÓGICO DE PROTOZOO INTESTINALES Y DE LOS POLIMORFISMOS DE CITOCINAS PROINFLAMATORIAS,"Hospital General ""Dr. Manuel Gea González""",DIEGO EMILIANO JIMÉNEZ GONZÁLEZ,,"HOSPITAL GENERAL ""DR. MANUEL GEA GONZÁLEZ""",BIOLOGÍA
SÍNDROME DE COLON IRRITABLE: PAPEL ETIOLÓGICO DE PROTOZOO INTESTINALES Y DE LOS POLIMORFISMOS DE CITOCINAS PROINFLAMATORIAS,"Hospital General ""Dr. Manuel Gea González""",JESUS LÓPEZ OLIVERA,,"HOSPITAL GENERAL ""DR. MANUEL GEA GONZÁLEZ""",CIRUGÍA ENDOSCOPICA
SÍNDROME DE COLON IRRITABLE: PAPEL ETIOLÓGICO DE PROTOZOO INTESTINALES Y DE LOS POLIMORFISMOS DE CITOCINAS PROINFLAMATORIAS,"Hospital General ""Dr. Manuel Gea González""",JAIME ALBERTO GONZÁLEZ ANGULO,,"HOSPITAL GENERAL ""DR. MANUEL GEA GONZALEZ""",CIRUGÍA ENDOSCÓPICA
Síndrome del Niño Sacudido. Prevalencia en un hospital pediátrico de tercer nivel.,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Corina Araceli García Piña,,Instituto Nacional De Pediatría,PEDIATRÍA
Síndrome del Niño Sacudido. Prevalencia en un hospital pediátrico de tercer nivel.,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Arturo Loredo Abdala,,Instituto Nacional De Pediatría,PEDIATRÍA Internista
Síndrome del Niño Sacudido. Prevalencia en un hospital pediátrico de tercer nivel.,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Arturo Perea Martinez,,Instituto Nacional De Pediatría,PEDIATRÍA Internista
Síndrome del Niño Sacudido. Prevalencia en un hospital pediátrico de tercer nivel.,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Francisco Paz Rodríguez,Candidato,Instituto Nacional De Neurologia Y Neurocirugia,Psicología Clínica y de la Salud
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .",Instituto Nacional De Salud Pública,Luisa Maria Sánchez Zamorano,Nivel 1,Instituto Nacional De Salúd Pública,
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .",Instituto Nacional De Salud Pública,Elsa María Yunes Díaz,,Instituto Nacional De Salúd Pública,
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .",Instituto Nacional De Salud Pública,Dariush Mozaffarian,,"Escuela de Medicina, Universidad de Harvard, USA",EPIDEMIOLOGÌA CARDIOVASCULAR
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .",Instituto Nacional De Salud Pública,Martín Lajous Loaeza,Nivel 1,Instituto Nacional De Salúd Pública,Epidemiología cardiovascular
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .",Instituto Nacional De Salud Pública,WALTER WILLET,,"Escuela de Medicina, Universidad de Harvard, USA",EPIDEMIOLOGÌA NUTRICIONAL
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .",Instituto Nacional De Salud Pública,Isabelle Francoise Marie Pierr Romieu Pagezy,Nivel 3,Instituto Nacional De Salúd Pública,Epidemiología nutriciónal
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .",Instituto Nacional De Salud Pública,Gabriela Torres Mejía,Nivel 1,Instituto Nacional De Salúd Pública,SALUD DE LA MUJER
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .",Instituto Nacional De Salud Pública,CLICERIO GONZÁLEZ VILLALPANDO,Nivel 2,Instituto Nacional De Salúd Pública,ENDOCRINOLOGIA
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .",Instituto Nacional De Salud Pública,JOSE ISIDRO ARTURO OREA TEJEDA,Nivel 1,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",CARDIOLOGÍA
"Síndrome metabólico, menopausia y Enfermedad Cardiovascular subclínica en mujeres mexicanas: Determinantes y Predictores en la Cohorte EsMaestras .",Instituto Nacional De Salud Pública,ANDRES CATZIN KUHLMANN,Candidato,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",MEDICINA INTERNA
Síntesis de dipéptidos no proteinogénicos de cadena corta como inhibidores de proteasas contra agentes patógenos en las vías respiratorias,Hospital Infantil De México Federico Gómez,Ernesto Calderon Jaimes,Nivel 1,Hospital Infantil De México Federico Gómez,INFECTOLOGIA Y MICROBIOLOGÍA
Síntesis de dipéptidos no proteinogénicos de cadena corta como inhibidores de proteasas contra agentes patógenos en las vías respiratorias,Hospital Infantil De México Federico Gómez,Araceli Santos Segura,,Hospital Infantil De México Federico Gómez,BIOQUÍMICA CLÍNICA
Síntesis de dipéptidos no proteinogénicos de cadena corta como inhibidores de proteasas contra agentes patógenos en las vías respiratorias,Hospital Infantil De México Federico Gómez,BEATRIZ HERNÁNDEZ OCHOA,,Hospital Infantil De México Federico Gómez,BIOQUÍMICA CLÍNICA
Síntesis de dipéptidos no proteinogénicos de cadena corta como inhibidores de proteasas contra agentes patógenos en las vías respiratorias,Hospital Infantil De México Federico Gómez,Jose Alfredo Vázquez Martínez,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",SÍNTESIS DE PÉPTIDOS Y PRODUCTOS NATURALES
Síntesis de dipéptidos no proteinogénicos de cadena corta como inhibidores de proteasas contra agentes patógenos en las vías respiratorias,Hospital Infantil De México Federico Gómez,JAIME ESCALANTE GARCÍA,Nivel 2,Universidad Autónoma Del Estado de Morelos,SÍNTESIS DE PÉPTIDOS Y RESOLUCIONES ENZIMATICAS Y PROCESOS DE BIOTRANSFORMACION
Síntesis de dipéptidos no proteinogénicos de cadena corta como inhibidores de proteasas contra agentes patógenos en las vías respiratorias,Hospital Infantil De México Federico Gómez,SANDRA LUZ CASTAÑON ALONSO,,,SÍNTESIS Y CARACTERIZACIÓN DE PEPTIDOS Y POLÍMEROS
Síntesis de dipéptidos no proteinogénicos de cadena corta como inhibidores de proteasas contra agentes patógenos en las vías respiratorias,Hospital Infantil De México Federico Gómez,JOSE ADRIAN SÁNCHEZ CARRILLO,,Hospital Infantil De México Federico Gómez,SÍNTESIS Y CARACTERIZACIÓN ESPECTROSCOPICA DE PÉPTIDOS
Síntesis de Inhibidores Selectivos de la Monoamina Oxidasa A para el Tratamiento de Desórdenes Depresivos.,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Daphne Edith González Juárez,,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Farmacología
Síntesis de Inhibidores Selectivos de la Monoamina Oxidasa A para el Tratamiento de Desórdenes Depresivos.,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Juan Benjamín García Vázquez,,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Farmacología
Síntesis de Inhibidores Selectivos de la Monoamina Oxidasa A para el Tratamiento de Desórdenes Depresivos.,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Benjamin Floran Garduño,Nivel 2,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Neurofarmacología y Patologías del Sistema Nervioso
Síntesis de Inhibidores Selectivos de la Monoamina Oxidasa A para el Tratamiento de Desórdenes Depresivos.,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),PEDRO JOSEPH NATHAN,Emérito,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),"Elucidación estructural, estereoquímica, transformación y síntesis de productos naturales orgánicos"
Síntesis de Inhibidores Selectivos de la Monoamina Oxidasa A para el Tratamiento de Desórdenes Depresivos.,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Martha Sonia Morales Ríos,Nivel 2,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Química medicinal con aplicación en neurofarmacología
Biomarcadores diagnósticos para tuberculosis humana en sangre,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Carmen Judith Serrano Escobedo,Nivel 1,Instituto Mexicano del Seguro Social,
SECUENCIACIÓN DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Diego Julio Arenas Aranda,Nivel 1,Instituto Mexicano del Seguro Social,BIOLOGÍA
SECUENCIACIÓN DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Saúl Cano Colín,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",DOCTOR EN INVESTIGACIÓN BIOMEDICA BASICA
SECUENCIACIÓN DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA,"Centro Médico Nacional 20 de Noviembre, ISSSTE",SANDRA ROMERO HIDALGO,Candidato,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",METODOLOGÍA ESTADÍSITCA APLICADA A DATOS GENÉTICOS
SECUENCIACIÓN DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA,"Centro Médico Nacional 20 de Noviembre, ISSSTE",María del Cármen Chima Galán,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",ESPECIALISTA EN PEDIATRÍA Y GENÉTICA MEDICA
SECUENCIACIÓN DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Martha Orozco Quiyono,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",GENÉTICA MÉDICA Y MEDICINA INTERNA
SECUENCIACIÓN DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA,"Centro Médico Nacional 20 de Noviembre, ISSSTE",AURA ARGENTINA ERAZO VALLE SOLIS,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",ONCOLOGÍA MÉDIA
SECUENCIACIÓN DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Fabio Abdel Salamanca Gómez,Nivel 3,Instituto Mexicano del Seguro Social,NVESTIGACIÓN GENÉTICA HUMANA
Biomarcadores diagnósticos para tuberculosis humana en sangre,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",José Antonio Enciso Moreno,Nivel 2,Instituto Mexicano del Seguro Social,
SEGMENTACIÓN DE IMÁGENES COLPOSCÓPICAS UTILIZANDO PATRONES TEMPORALES ACETOBLANCOS PARA LA CLASIFICACIÓN DE LESIONES CÉRVICO UTERINAS.,Universidad Veracruzana,NICANDRO CRUZ RAMÍREZ,Nivel 1,Universidad Veracruzana,MINERÍA DE DATOS
SEGMENTACIÓN DE IMÁGENES COLPOSCÓPICAS UTILIZANDO PATRONES TEMPORALES ACETOBLANCOS PARA LA CLASIFICACIÓN DE LESIONES CÉRVICO UTERINAS.,Universidad Veracruzana,MARÍA EUGENIA LEGORRETA,,"CENTRO ESTATAL DE CANCEROLOGÍA ""DR. MIGUEL DORANTES MESA"", (XALAPA, VERACRUZ)",GINECOLOGÍA
SEGMENTACIÓN DE IMÁGENES COLPOSCÓPICAS UTILIZANDO PATRONES TEMPORALES ACETOBLANCOS PARA LA CLASIFICACIÓN DE LESIONES CÉRVICO UTERINAS.,Universidad Veracruzana,RODOLFO HERNÁNDEZ JIMÉNEZ,,Universidad Veracruzana,GINECOLOGÍA/COLPOSCOPÍA
SEGMENTACIÓN DE IMÁGENES COLPOSCÓPICAS UTILIZANDO PATRONES TEMPORALES ACETOBLANCOS PARA LA CLASIFICACIÓN DE LESIONES CÉRVICO UTERINAS.,Universidad Veracruzana,BERTHA COCOTLE RONZÓN,,Universidad Veracruzana,Patología
ÓRTESIS PARA EL CONTROL DE LA ALINEACIÓN METATARSO-FALÁNGICA POSTERIOR AL TRATAMIENTO QUIRÚRGICO CORRECTIVO DE HALLUX VALGUS POR TÉCNICA MÍNIMAMENTE INVASIVA.,Centro Nacional De Rehabilitación,EDUARDO LÓPEZ GAVITO,,Centro Nacional De Rehabilitación,ORTOPEDIA Y TRAUMATOLOGÍA CIRUGÍA DE PIE Y TOBILLO
SENSIBILIDAD A RADIOTERAPIA INDUCIDA POR CLOROQUINA EN PACIENTES CON METÁSTASIS CEREBRALES TRATADOS CON RADIOTERAPIA TOTAL DE CRÁNEO: UN ESTUDIO DE FASE II ALEATORIZADO.,Instituto Nacional de Cancerología,NORMA YANET HERNÁNDEZ PEDRO,,"Instituto Nacional De Cardiología ""Ignacio Chavez""",
SENSIBILIDAD A RADIOTERAPIA INDUCIDA POR CLOROQUINA EN PACIENTES CON METÁSTASIS CEREBRALES TRATADOS CON RADIOTERAPIA TOTAL DE CRÁNEO: UN ESTUDIO DE FASE II ALEATORIZADO.,Instituto Nacional de Cancerología,ELENA ARÉCHAGA OCAMPO,Candidato,"Instituto Nacional De Cardiología ""Ignacio Chavez""",BIOMEDICINA MOLECULAR
SENSIBILIDAD A RADIOTERAPIA INDUCIDA POR CLOROQUINA EN PACIENTES CON METÁSTASIS CEREBRALES TRATADOS CON RADIOTERAPIA TOTAL DE CRÁNEO: UN ESTUDIO DE FASE II ALEATORIZADO.,Instituto Nacional de Cancerología,DIGNA PACHUCA GONZÁLEZ,,Universidad Nacional Autlónoma Metropolitana,
SENSIBILIDAD A RADIOTERAPIA INDUCIDA POR CLOROQUINA EN PACIENTES CON METÁSTASIS CEREBRALES TRATADOS CON RADIOTERAPIA TOTAL DE CRÁNEO: UN ESTUDIO DE FASE II ALEATORIZADO.,Instituto Nacional de Cancerología,OMAR PEÑA CURIEL,,Universidad De Guadalajara,
SENSIBILIDAD A RADIOTERAPIA INDUCIDA POR CLOROQUINA EN PACIENTES CON METÁSTASIS CEREBRALES TRATADOS CON RADIOTERAPIA TOTAL DE CRÁNEO: UN ESTUDIO DE FASE II ALEATORIZADO.,Instituto Nacional de Cancerología,GERALDINE VILLANUEVA RODRIGUEZ,,UNIVERSIDAD LA SALLE,
SENSIBILIDAD A RADIOTERAPIA INDUCIDA POR CLOROQUINA EN PACIENTES CON METÁSTASIS CEREBRALES TRATADOS CON RADIOTERAPIA TOTAL DE CRÁNEO: UN ESTUDIO DE FASE II ALEATORIZADO.,Instituto Nacional de Cancerología,BEATRIZ ADRIANA TORRES AVILA,,"Universidad Nacional Autónoma De México, UNAM",
SENSIBILIDAD A RADIOTERAPIA INDUCIDA POR CLOROQUINA EN PACIENTES CON METÁSTASIS CEREBRALES TRATADOS CON RADIOTERAPIA TOTAL DE CRÁNEO: UN ESTUDIO DE FASE II ALEATORIZADO.,Instituto Nacional de Cancerología,DAVID SAAVEDRA PÉREZ,,"Universidad Nacional Autónoma De México, UNAM",
SENSIBILIDAD A RADIOTERAPIA INDUCIDA POR CLOROQUINA EN PACIENTES CON METÁSTASIS CEREBRALES TRATADOS CON RADIOTERAPIA TOTAL DE CRÁNEO: UN ESTUDIO DE FASE II ALEATORIZADO.,Instituto Nacional de Cancerología,ALEJANDRO CRISMATT ZAPATA,,"Instituto Nacional De Cardiología ""Ignacio Chavez""",ONCOLOGÍA MÉDICA
SENSIBILIDAD A RADIOTERAPIA INDUCIDA POR CLOROQUINA EN PACIENTES CON METÁSTASIS CEREBRALES TRATADOS CON RADIOTERAPIA TOTAL DE CRÁNEO: UN ESTUDIO DE FASE II ALEATORIZADO.,Instituto Nacional de Cancerología,DIANA FLORES ESTRADA,,"Instituto Nacional De Cardiología ""Ignacio Chavez""",TRABAJO SOCIAL EN EL AREA MÉDICA
SEPSIS COMO CONSECUENCIA DEL SÍNDROME DE RESPUESTA ANTI-INFLAMATORIA COMPENSADORA (CARS) EN PACIENTES CON PANCREATITIS AGUDA,Instituto Mexicano del Seguro Social,ROSALIA ADUNA VICENTE,,Universidad Nacional Autlónoma Metropolitana,BIOLOGÍA MOLECULAR
SEPSIS COMO CONSECUENCIA DEL SÍNDROME DE RESPUESTA ANTI-INFLAMATORIA COMPENSADORA (CARS) EN PACIENTES CON PANCREATITIS AGUDA,Instituto Mexicano del Seguro Social,NESTOR GONZÁLEZ ROLDAN,,"Instituto Politécnico Nacional, I.P.N. - Escuela Nacional de Ciencias Biològicas",INMUNOLOGÍA
SEPSIS COMO CONSECUENCIA DEL SÍNDROME DE RESPUESTA ANTI-INFLAMATORIA COMPENSADORA (CARS) EN PACIENTES CON PANCREATITIS AGUDA,Instituto Mexicano del Seguro Social,CONSTANTINO III ROBERTO LÓPEZ MACIAS,Nivel 1,Instituto Mexicano del Seguro Social,INMUNOLOGÍA
SEPSIS COMO CONSECUENCIA DEL SÍNDROME DE RESPUESTA ANTI-INFLAMATORIA COMPENSADORA (CARS) EN PACIENTES CON PANCREATITIS AGUDA,Instituto Mexicano del Seguro Social,ISABEL WONG BAEZA,,"Instituto Politécnico Nacional, I.P.N. - Escuela Nacional de Ciencias Biològicas",INMUNOLOGÍA
SEPSIS COMO CONSECUENCIA DEL SÍNDROME DE RESPUESTA ANTI-INFLAMATORIA COMPENSADORA (CARS) EN PACIENTES CON PANCREATITIS AGUDA,Instituto Mexicano del Seguro Social,JOSE LUIS DESEANO ESTUDILLO,,"Universidad Nacional Autónoma De México, UNAM - Instituto Mexicano del Seguro Social",MEDICINA CRITICA Y TERAPIA INTENSIVA
SEPSIS COMO CONSECUENCIA DEL SÍNDROME DE RESPUESTA ANTI-INFLAMATORIA COMPENSADORA (CARS) EN PACIENTES CON PANCREATITIS AGUDA,Instituto Mexicano del Seguro Social,GUILLERMO BENITO ROBLES DÍAZ,Nivel 2,"Universidad Nacional Autónoma De México, UNAM",GASTROENTEROLOGIA
SEPSIS COMO CONSECUENCIA DEL SÍNDROME DE RESPUESTA ANTI-INFLAMATORIA COMPENSADORA (CARS) EN PACIENTES CON PANCREATITIS AGUDA,Instituto Mexicano del Seguro Social,MIGUEL ANGEL VILLASIS KEEVER,Nivel 1,"Universidad Nacional Autónoma De México, UNAM - Instituto Mexicano del Seguro Social",PEDIATRÍA
SEPSIS COMO CONSECUENCIA DEL SÍNDROME DE RESPUESTA ANTI-INFLAMATORIA COMPENSADORA (CARS) EN PACIENTES CON PANCREATITIS AGUDA,Instituto Mexicano del Seguro Social,HERIBERTO RODEA ROSAS,,"Universidad Nacional Autónoma De México, UNAM - Hospital General de México",CIRUGIA GENERAL
SEPSIS COMO CONSECUENCIA DEL SÍNDROME DE RESPUESTA ANTI-INFLAMATORIA COMPENSADORA (CARS) EN PACIENTES CON PANCREATITIS AGUDA,Instituto Mexicano del Seguro Social,Eduardo Ferat Osorio,,Instituto Mexicano del Seguro Social,CIRUGIA GENERAL
